chunk_id,year,heading,text,label
2ebcd97f47a443f6,2019,Live your best life,"There’s life at work and life outside of work. We want everyone to be healthy, travel often, get time to give back, and have the financial resources and support they need.",benefits_perks
2afdef3625258526,2019,Build extraordinary products,"Engineering technologies that bring people together in the real world is both inspiring and daunting. We're tackling challenges in search relevance, payments, fraud prevention, discrimination, and growth—all while maintaining a beautiful experience. We love to contribute to the community, from our work on testing React components to our new Android framework. Learn more about engineering at Airbnb.io",mission_brand
42db1a3bb4c2bab2,2023,Reasonable accommodation,"Airbnb values diversity & belonging and is proud to be an Equal Employment Opportunity employer. All individuals seeking employment at Airbnb are considered without regard to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, sexual orientation, or any other legally protected characteristic. We are committed to providing reasonable accommodations for qualified applicants with disabilities in our job application and recruitment process. If you need assistance, or an accommodation, please contact us at: reasonableaccommodations@airbnb.com .",legal_boilerplate
33c8982b85d7ce34,2017,Play,Life is what happens when you're busy working. We make sure to enjoy it.,mission_brand
884da93954d079fa,2022,Living and working from anywhere,We have a new design for living and working anywhere! Read Airbnb Co-Founder & CEO Brian Chesky’s email to Airbnb’s employees around the globe in our Newsroom post . We’ll share more information on this Careers page soon.,process_logistics
0f92a18fb34aafe7,2016,Play,Life is what happens when you're busy working. We make sure to enjoy it.,mission_brand
036a890f41b74551,2023,The Difference You Will Make,"Collaborate with cross-functional partners such as Product Managers, Experience Designers and Engineers to design and deliver high-quality products on iOS Build efficient and reusable mobile components and architect reliable, performant, and scalable mobile solutions Mentor, guide, advocate and support the career growth of individual contributors Identify areas of improvement and drive mobile best practices 5-9 years of experience developing iOS applications at scale with a high volume of users, preferably in Swift and SwiftUI You possess strong product sense and a passion for iOS UI and UX product development Demonstrated ability to collaborate with Product Management, Design, and other iOS, Android, and Web Engineers You’re passionate about continuous learning and innovation in the mobile industry Sound engineering and coding skills. Understanding of basic data structures and asynchronous programming You possess a Bachelor’s and/or Master’s degree, preferably in CS, or equivalent professional experience This position is US - Remote Eligible. The role may include occasional work at an Airbnb office or attendance at offsites, as agreed to with your manager. Airbnb,Inc. can employ in states where we have registered entities. Currently, employees can not be located in: Alaska, Indiana, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Alabama, Mississippi, Oklahoma, Delaware and Rhode Island. This list is continuously evolving and being updated. Please check back with us if the state you live in is on the exclusion list. If your position is employed by another Airbnb entity, your recruiter will inform you what states you are eligible to work from. Airbnb is committed to working with the broadest talent pool possible. We believe diverse ideas foster innovation and engagement, and allow us to attract creatively-led people, and to develop the best products, services and solutions. All qualified individuals are encouraged to apply.",job_listing
c8b5f5b0114ff953,2016,Champion the Mission,Passionate. Committed. Optimistic. Puts the Airbnb community first. Takes ownership and delivers results. Perpetuates belonging.,mission_brand
f304b187e3d6dd6c,2025,Work at one of the most creative places on Earth,"From our first three guests in 2007, Airbnb has welcomed 1.5 billion arrivals, all thanks to our 5 million Hosts.",mission_brand  
06bb2adad2691791,2020,Questions about joining Airbnb?,Learn more about our interview process on our frequently asked questions page .,process_logistics
