chunk_id,year,heading,text,label
11c55e30491c43ad,2025,"Amazon increases wages, adds new benefits for hourly US employees",Amazon is increasing the average total compensation package for fulfillment and transportation employees in the U.S. to over $29 per hour.,job_listing
3d0e3fc35085c0a9,2017,Anuj K.,"For Anuj K., working for Amazon means endless opportunity. “I’ve lived in India, Australia, the US, and now I live in Vancouver, Canada,” Anuj explained. “My wife and I will sometimes talk about ‘what’s next?’ and I tell her, ‘I work for Amazon. And that means we can go anywhere in the world.’” As a Senior Manager and Software Developer on the People Technology team, Anuj is working to make sure thousands of hopeful Amazonians can have that same feeling someday. “I manage engineering Amazon’s custom recruiting platforms,” he explained. “One of our legacy recruiting tools was unable to handle Amazon’s applicant volumes as they grew over time, so we’re building high-scale systems to enable the company to keep growing its talent at the speed of our business.” Anuj personally finds this challenging project exciting. “The entire experience is like a start-up, which is fun,” he explained. “But then I remember we’re backed by one of the most successful companies in the world, and that makes this project even better.” Anuj and his team are laser-focused on their many different types of customers. “If you really look at all the things Amazon does, we are not just one company – we are a company of companies,” Anuj explained. “We make sure the best systems are in place to help our recruiting teams hire for many different roles.” Anuj and his team also use Amazon’s desire to be ‘Earth’s most customer-centric company’ as another guiding light. “In developing new recruiting systems, we are focused on creating Earth’s most candidate-centric technology.” We want our system to be simple and effective for candidates and all business teams.”",employee_story
ede97fc83e8da13b,2007,,"Why Join Amazon? Benefits Help How to Apply FAQ Amazon.com currently employs more than 12,000 people around the world. Our employees work in corporate offices, fulfillment centres, customer service centres and software development centres across North America, Europe and Asia. Employees in our TBD offices contribute in a variety of functions and jobs, including: Software Development Our engineers tackle some of the most complex challenges in large-scale computing. Software development engineers, technical program managers, test engineers, and user-interface experts work in small teams company-wide to contribute to the e-commerce platform that's used by: Tens of millions of Amazon.com customers Hundreds of thousands of sellers and merchants Tens of thousands of external developers Retail Product Management and Merchandising Our team of product managers, designers, buyers, and merchandisers builds and launches new product categories and stores around the world as it offers customers greater selection, lower prices, more in-stock merchandise, and a best-in-class shopping experience. Information Technology Our IT team oversees the company's technology environment. These system, database, and networking experts build and operate highly reliable, scalable distributed systems with terabyte-sized databases and infrastructure that can handle a massive number of transactions. Operations and Customer Service During the 2005 holiday season, our fulfillment centers shipped to more than 200 countries worldwide. Our operations teams oversee and operate all aspects of supply chain management, fulfillment, transportation, and customer service. People on these teams range from optimization specialists and business analysts to fulfillment and customer-service managers and associates. Regardless of their role, however, they're completely focused on meeting individual customer promises every day, around the globe. Finance and Administration Financial professionals at Amazon.com operate as business partners within functional teams throughout the company. They have leadership roles in teams such as Retail, Operations, Business Development, and Software Development in addition to more traditional roles in Accounting, Treasury, Investor Relations, etc. Financial professionals help teams evaluate business investments, understand historical performance, and develop forward-looking plans in addition to providing objective perspectives to their business partners. Human Resources Our HR function comprises HR Business Partners, Recruiters and Specialists in areas like Learning & Development, HRIS and Compensation & Benefits. The teams engage with our business leaders to deliver our goal of finding, developing and retaining the best and brightest people in the market. By partnering with our businesses leaders and employees we develop long term career paths inline with Amazon's unique culture. Legal Our legal team advises business leaders on complex legal issues in a dynamic, high-growth environment. They oversee Amazon's intellectual property and patent efforts, drive public policy initiatives, and resolve all litigation.",mission_brand
65eccd23bbcbac30,2022,"Sign up for the latest news, facts, analysis, and original stories about Amazon delivered to you.","Opt out anytime. By signing up, you agree to our Privacy Policy .",navigation_junk
78fbe73e43aada9d,2017,Ownership,"Leaders are owners. They think long term and don’t sacrifice long-term value for short-term results. They act on behalf of the entire company, beyond just their own team. They never say “that’s not my job"".",mission_brand
c7d644bbb115508a,2015,,"Prime Instant Video Unlimited streaming of movies and TV shows Shop Instant Video Rent or buy movies and TV shows Video Shorts Free music videos, movie and video game trailers, product reviews, and more Your Watchlist Add videos to watch later Your Video Library Your purchases and rentals Watch Anywhere Tablets, game consoles, TVs and more Play your music on the go Amazon Music for your phone Play your music at home Amazon Music for your PC Apps Shop over 250,000 apps and games Games Shop new, bestselling, and free games Free App of the Day Get a new paid app for free every day Amazon Coins Save up to 10% on apps and games Download Amazon Appstore Install on your Android phone or tablet Your Apps and Devices View your apps and manage your devices About Cloud Drive Secure storage for photos and more Download the Free Apps For desktop, iOS, and Android Plans and Pricing Everyone starts with 5 GB free Sign In View and manage your digital content Kindle All-new Kindle, now with touch Kindle Paperwhite For reading, tablets can't compete Kindle Voyage Passionately crafted for readers Accessories Covers, chargers, sleeves and more Kindle Unlimited Unlimited reading & listening, $9.99 a month Kindle Cloud Reader Read your Kindle books in a browser Fire HD 6 6"" - The most powerful tablet under $100 Fire HD 7 7"" - Powerful tablet, endless entertainment Fire HD Kids Edition Everything kids love. Everything parents want. Kindle Fire HDX 7"" - Built for work and play Fire HDX 8.9 8.9"" - Our most powerful tablet ever Accessories Cases, chargers, sleeves and more Amazon Fire TV Streaming 1080p media player with voice search Whispersync for Voice Switch between reading and listening Computer Accessories & Peripherals External drives, mice, networking & more",navigation_junk
817e456436314070,2016,University recruiting,"Learn about Amazon's university recruiting programs, and browse open jobs, by team.",job_listing
122f04464c78da04,2020,Beth M.,"Beth is a Senior Principal Technologist for Amazon Robotics. Beth has been Founder and CEO of several successful startups, most notably EXOS, Inc., which was venture capital backed and sold to Microsoft in 1996. Since then she has been involved in 30 start-ups in a variety of fields as a founder, investor, or advisor. She was an advisor and investor in Leap Frog and has been involved in entertainment and mobile companies. Beth is an acknowledged expert in VR, AR and the hand-device interface space and has been an expert in support of prior patent litigations. Beth has a Ph.D. in biomechanics from the Imperial College in London, England where she was a Marshall Scholar. Her first two degrees were from MIT in the department of Mechanical Engineering. She has served on the faculty of MIT in the department of Mechanical Engineering. Beth has been a member of the Board of the MIT Enterprise Forum and the MIT Corporation Visiting Committee in Mechanical Engineering. She is also a current member of the Council for the Arts at MIT.",employee_story
2640a264b747ae9d,2021,Amazon ranks #2 on Forbes World’s Best Employers list,"Workplace What skills will be needed for work in 2022? Read more December 10, 2020 Workplace Global workforce upskilling success stories Read more December 10, 2020 Workplace Looking ahead: Upskilling the American workforce after COVID-19 Read more December 10, 2020 Operations How a young cancer survivor sees her grandpa’s job at Amazon Read more November 23, 2020 Workplace Recognizing the 8,000 Amazon Reservists and National Guard members called to service during the COVID-19 pandemic Read more November 09, 2020 Workplace Veterans and military spouses help build the future at Amazon Read more November 04, 2020 Community Building a global community for Black girls to code Read more November 02, 2020 Workplace Honoring Native cultures, traditions, and histories at Amazon Read more October 30, 2020 Workplace Meet Amazon employees gearing up for this holiday season Read more October 29, 2020",navigation_junk
0ca717f173aeb859,2017,Anuj K.,"For Anuj K., working for Amazon means endless opportunity. “I’ve lived in India, Australia, Canada, and now I live in Seattle,” Anuj explains. “My wife and I will sometimes talk about ‘what’s next?’ and I tell her, ‘I work for Amazon. And that means we can go anywhere in the world.’” The opportunity to make a giant impact on the way people live and work attracted Anuj to the Alexa Smart Home team after working on other Amazon teams. “I truly believe that within a decade, every home will be a smart home,” he says. “From the Jetsons to Star Trek, we are making a lot of yesterday’s fiction come alive. Being able to pioneer a change this big is a once-in-a-lifetime opportunity.” As a Senior Manager of Software Development on the Alexa Smart Home team, Anuj is enabling customers to interact with their smart home devices in natural and intuitive ways. “We are delivering smart home control experiences, which allow customers to simply say what they want and Alexa does the rest,” he says. Anuj uses Alexa at home for catching up with the news, listening to music, calling family and friends, and using features like the Jeopardy skill. Outside of work, Anuj enjoys spending time with his wife and three daughters. Weekends involve brunch, watching movies and superhero TV shows, kayaking, and driving kids to coding competitions.",employee_story
