chunk_id,register,year,canon_url,heading,text,label
4dfb47372c74bbe9,worker,2024,,Response to WP Engine’s Lawsuit,"Automattic invested in WP Engine ~13 years ago. I don&#x27;t know if they still own the shares though.<p><a href=""https:&#x2F;&#x2F;techcrunch.com&#x2F;2011&#x2F;11&#x2F;15&#x2F;silverton-automattic-put-1-2m-into-wordpress-hosting-and-security-service-wp-engine&#x2F;"" rel=""nofollow"">https:&#x2F;&#x2F;techcrunch.com&#x2F;2011&#x2F;11&#x2F;15&#x2F;silverton-automattic-put-1...</a>",on_topic
73551ef182925291,firm,2010,wordpressfoundation.org/trademark-policy,WordPress Trademark Usage Policy,"Similarly, it’s OK to use the WordPress logo as part of a page that describes your products or services, but it is not OK to use it as part of your company or product logo or branding itself. Under no circumstances is it permitted to use WordPress as part of a top-level domain name. Please note that it is not the goal of this policy to limit commercial activity around WordPress. We encourage WordPress-based businesses, and hundreds of them are thriving while in compliance with this policy (Automattic, CrowdFavorite, and StudioPress are a few examples). The abbreviation “WP” is not covered by the WordPress trademarks and you are free to use it in any way you see fit. When in doubt about your use of the WordPress name or logo, please contact the Foundation for clarification.",on_topic
9563c8344c3b3606,firm,2014,automattic.com/about,About Us,"Nick Momrik Technical Assistant 43.419470 -83.950807 Blogs: Nick Momrik Nick grew up in northern lower Michigan and currently lives in Saginaw. He worked at the Help Desk and Microlabs at Saginaw Valley State University for 8 years before joining Automattic. Nick has been using WordPress since version 0.72 and vaguely remembers life before plugins and themes. When he’s not doing CrossFit and there isn’t snow on the ground, he can usually be found on a golf course trying to get his first hole-in-one. 43.419470 -83.950807 Caroline Moore Theme Mama 45.941723 -67.830293 Blog: carolinemoore.net A northern Maine native, Caroline has been geeking around with websites since she was 14 and posting moody teenage poetry at Geocities. Not much has changed fifteen years later (except the Geocities and moody poetry parts, thankfully). She graduated in 2005 from the University of Maine, where she continued to work as a web designer and developer before joining Automattic in 2012. When not wrangling themes, she enjoys illustration, photography, writing, and hanging out with her husband, Tim, and their two daughters. 45.941723 -67.830293 Blog: Aschynde Tim is a Maine born and bred writer. At Automattic, he writes code for WordPress.com and Jetpack. At home, he writes fiction, memoirs, and blog posts that sometimes get published. He lives in Northern Maine with his wife and fellow Automattician, Caroline Moore, his two daughters, Ellie and Gwen, and assorted cats and dogs 45.908869 -67.845304 Henrique Mouta VIP Wrangler 38.722252 -9.139337",on_topic
123b587027e595c5,firm,2023,automattic.com/work-with-us,Benefits,"Professional growth, open vacation policy, generous parental leaves, wellness support, sabbaticals , and more.",on_topic
7f208b9748cc9ec7,worker,2018,,How America lost its love for the stick shift,"While technically true, there is not much practical difference.<p>Like on a motorbike I tend to tweak slow speeds with the clutch only and leave the throttle in one position most of the time.<p>With an automatic car since the brakes are not binary and automatic gearboxes have often forward creeping I only tweak the brakes. Helps to force the gearbox into 2nd gear as well for even slower creeping.<p>In fact, I think automatic gearboxes reduces traffic jams as fewer parts to think of so less likely to accidentally make a mistake and cause congestion.<p>Wonder how many jams are due to accidental stalling a manual gearbox.<p>Traffic jams without an automatic gearbox is no fun. (or even less fun)",junk
a2a0108cb1f4d641,firm,2026,automattic.com/work-with-us,automattic.com/work-with-us,"This is our standard process; however, the hiring steps may differ by role to ensure we choose candidates who will thrive as Automatticians.",on_topic
ef321c7f2dd3c7f2,worker,2014,,New Funding for Automattic,"<i>It was also only a year ago I said “Automattic is healthy, generating cash, and already growing as fast as it can so there’s no need for the company to raise money directly — we’re not capital constrained.”</i><p><i>I was wrong, but I didn’t realize it until I took on the CEO role in January.</i><p>Find this to be really odd.<p>And it leads into this, which is at odds with the previous statement that they were growing as fast as they can. Did they discover any new avenues for growth that required a whole new raft of capital?<p><i>..and we realized we could invest more into WordPress and our products to grow faster</i><p>I love the company and Matt. Met him briefly in India many moons ago when he was attending a Wordcamp here.",on_topic
4be90cf20c7be573,firm,2012,automattic.com/about,About Us,"Demitrious Kelly Code Ninja 38.027976 -121.884681 Blog: Apokalyptik Demitrious is a self portrayed jester (certainly not jack) of all trades and master of none. Leaving the heat of central California behind him he set out to make a difference in this new age of instant information. And what better place to make a difference than here with us at Automattic, where instant information isn’t just a goal but a way of life? 38.027976 -121.884681 Isaac Keyet Mobile Lead/Designer 57.267408 12.334587 Blog: Isaac Keyet At Automattic, Isaac is determined to make the mobile blogging experience for WordPress better. In the past he co-founded IntenseDebate, a comment plugin that became a part of the Automattic family in October 2008. Isaac derives from Sweden, and participated in the TechStars program class ’07. Spends large portions of his day drinking tea and hanging out in cafés. Likes intelligent people. Has a very diverse music taste. 57.267408 12.334587 Michael Koenig Schmooze Engineer 41.878114 -87.629798 Blog: Inside The Debate , MK Michael has seen “Big Trouble In Little China” more times than anyone ever should. While he wanted to be a kung fu master, he went a less violent route and picked up a bass guitar and set of skis. Originally from Michigan, Michael now lives in Chicago, Illinois by way of Boulder, Colorado where he earned his BA in Philosophy from the University of Colorado. He joined the IntenseDebate crew (a distributed comment system now a part of the Automattic family) in March of 2008, and has since perfected the art of schmoozing kung fu. 41.878114 -87.629798 Daryl Koopersmith Code Wrangler 37.774929 -122.419415",on_topic
e109e291ba011ad6,worker,2018,,Our Approach to Employee Security Training,"In the research this is called &quot;capabilities&quot;, limiting your account, not giving everyone root. Also, there is fraud detection, stuff like automatic alerts when the same credential is used in two places at once, or with unusual access patterns.<p>Obviously it&#x27;s impossible for compromising credentials to have no consequences -- if case, why do you have credentials?",junk
6c883defafb45185,firm,2012,automattic.com/about,About Us,"Blog: Sunsets & Pancakes Widely known for his support of Microsoft products, Anthony doesn’t fit into many social circles anymore. But what he lacks in popularity, we like to think he makes up for in apparent Halo skills, wiffle ball prowess, and undying love for WordPress. A graduate of Temple University, Anthony currently resides in King of Prussia, PA. He hopes someday to move to San Francisco to be with all the other cool people and never deal with seasons again. 40.184269 -75.537964 Jon Burke Ads Lead 37.876329 -122.542771 Blog: alarm:clock Jon manages the advertising programs for Automattic and WordPress.com. He lives just North of the Golden Gate Bridge with his wife and 2 kids. 37.876329 -122.542771 Terry Chay Planet Taker 37.774929 -122.419415 Blog: The Woodwork Terry was born in Pittsburgh. He rants a lot about PHP, but other than that, he’s mostly harmless. 37.774929 -122.419415 Brian Colinger Code Wrangler 36.188136 -94.540496 Blog: Colinger.com Brian lived in San Jose, CA for 3.5 years then hightailed it back home to Arkansas after joining Automattic. He works on various WordPress importers and is a VaultPress Safekeeper among other things. 36.188136 -94.540496 Robert Collins Mobile Wrangler 47.820930 -122.315131 Born and raised in the rainy town of Seattle, Washington. Like many Seattleites he drinks too much coffee. When not hacking around on HTML/CSS/JavaScript he may be found exploring the Cascade Mountains or sipping Maker’s Mark. He is a known lover of JavaScript (please don’t judge him). 47.820930 -122.315131 Kevin Conboy Design and UI Engineer 39.580745 -104.877173",on_topic
bdc9b8ac2d7d3235,firm,2014,automattic.com/about,About Us,"Blog: Lantean Jorge lives in the world capital of Tango. After graduating from University in 2006, he’s been developing software products for new technologies, and enjoys playing his guitar once in a while. -34.532950 -58.490906 Matt Perry Code Wrangler 47.606209 -122.332071 Blog: Stkywll Matt is a web developer based in Seattle, Washington. He particularly loves working with WordPress, PHP, JavaScript, and is interested in how WordPress is used in the newsroom and within organizations of all types. Over the past few years he’s been lucky to be able to work with WordPress and other technologies alongside teams of great journalists and political organizers. This work has deepened his love for the web, open source software, and making change with technology. Avocationally, he’s an amateur soccer player, professional soccer fan, dog lover, occasional gardener, fair-weather cyclist and wannabe polymath. 47.606209 -122.332071 Iliya Polihronov Systems Developer 42.697839 23.321670 Iliya is a developer, systems administrator, and systems architect currently living in Sofia, Bulgaria. He strives to understand how things work and to find the best possible solutions. When not reading about the latest and coolest technical solutions, he likes to stay active by lifting weights, running, and playing sports like gymnastics, boxing, and swimming. 42.697839 23.321670 Kathryn Presner Happiness Engineer 45.508670 -73.553992 Blog: kpresner.com Kathryn spends her Montreal summers savoring a daily Vietnamese iced coffee and pondering new ways to prevent a squirrel feeding frenzy in the garden. During the wintertime she mostly hibernates and cuddles with her three demanding felines. She organizes a monthly dinner club that so far has sampled cuisines including Salvadoran, Venezuelan, Argentinian, Indonesian, British-gastropub, Thai-vegetarian, Persian, Egyptian-seafood, Egyptian-brunch, Ethiopian, and Turkish. Her biggest pet peeve on the web is bad restaurant websites. 45.508670 -73.553992 Stephen Quirk Content Engineer 43.677025 -70.371162",on_topic
7a8f27d1d021b36b,worker,2024,,WP Engine sent “cease and desist” letter to Automattic,"I love it! WP Engine showed its true colors. I also agree with Automattic, and I know customers who got tricked into using WP Engine and were later sorry for doing so! Sending C&amp;D over this stuff is something that bans them for life in my book!",on_topic
f7c3805918776f80,worker,2024,,WordPress.org's latest move involves taking control of a WP Engine plugin,It really is strange Automattic&#x27;s lawyers haven&#x27;t clamped down on any public comment. Have any of WP Engine&#x27;s people been as free with commentary as Automattic employees have been?<p>If I were an employee at a company being sued I wouldn&#x27;t say <i>anything</i> related to it even without an order from legal because I wouldn&#x27;t want to have to risk answering for it in the trial. Why dangle yourself out there as a target for the opposition&#x27;s lawyers?,on_topic
320a2854ae74d47d,worker,2010,,Ready for Zero (YC S10) wants to help Americans get out of debt.,"There is almost nothing there, in an industry absolutely <i>saturated</i> with loads of people with a lot of something. The business plan right now appears to be ""a simple Google Spreadsheet with a lot of annoying maintenance and superficial value-add surrounding it"".<p>The pie-in-the-sky fantasy land of future low interest credit card leads [which is the exact <i>opposite</i> of the sort of offers such a site would get. The best would be predatory, secured credit-card type offers] and automatic...something...it just has the aroma of failure. It could as easily be a ""lose weight today"" website where you enter your desired weight and it tells you to eat less daily. Which...if such a site existed...I think we would all laugh at.",junk
51069e505a4e23db,firm,2012,wordpressfoundation.org/trademark-policy,Leave a Reply Cancel reply,Meta Log in Entries RSS Comments RSS WordPress.org The header was generated with Wordle !,junk
751193b7a22bf5a8,worker,2023,,Automattic Donates €20k to Fund Next Phase of Drupal Gutenberg Development,Automattic Donates €20k to Fund Next Phase of Drupal Gutenberg Development,junk
beb00b9d01e7768d,worker,2024,,[dead],"Feels an awful lot like Matt&#x27;s just angry that he didn&#x27;t move on to the final stage of enshittification soon enough. WPEngine is making &quot;too much money&quot; that he want&#x27;s in his own pocket.<p>Fuck website owners. Fuck agencies using WordPress for their clients. Fuck hosting companies who offer WordPress hosting. Fuck theme and plugin developers. Even fuck non Automattic WP core developers.<p>It&#x27;s all about funnelling all the money to Matt now.<p>We had a big discussion at work yesterday. We are now actively researching WordPress alternatives for the two dozen or so client sites we run on WordPress and WPEngine.<p>In the short term, we&#x27;re planning to rely on WPEngine to keep some form of WordPress and plugin&#x2F;theme repo available and provide at least security updates for core and the largest plugins (either via the plugin authors, or by patching their local repo with security bug fixes if needed).<p>In the medium term we are planning to increase our use of static site gen to publish WP sites to S3&#x2F;CloudFront wherever possible, as a stopgap before we migrate sites off WP.<p>In the long term we are going to completely remove Automattic&#x2F;wordpress.org&#x2F;Matt from our business. This might be by staying with WPEngine using whatever they end up pivoting their platform to. This may end ups with ClassicPress or some other WP fork. We feel we have a reasonable amount of time to let everything play out and make the best future decision, but we are also developing a disaster plan to ensure we can keep out existing client sites functional and secured very quickly - even if some loss of functionality is the result.<p>Matt&#x27;s WordPress is dead to us. I feel sorry for all the plugin and theme developers we buy paid WP themes&#x2F;plugins from. None of them deserve this. None of out clients deserve this. I suspect none of the wordpress.com and Tumblr customers deserve what&#x27;s about to happen to them either.<p>Matt though? You totally deserve to have your life&#x27;s work and what _could_ have been an ongoing legacy completely destroyed.",on_topic
ec94dcb1b87db6b8,worker,2017,,WhatsApp told to stop sharing user data with Facebook by French authorities,"You can get them with debit cards as well, depending on your bank account contract.<p>On some banks there are bank accounts with automatic credit, up to a certain limit of expenses.",junk
1d11c1cfb587622f,worker,2024,,WordPress.org bans WP Engine,"WordPress has been around for a long time, and there is no change to how open it is. It is GPL code, Automattic is not forking it and selling access to the fork.<p>We are just asking WP Engine to contribute back to the project that they are basing their entire business on.<p>This is primarily a trademark infringement issue, we asked them to give back to be able to use the trademark we have the license for.",on_topic
56331e05cbe3f414,worker,2024,,WP Engine sent “cease and desist” letter to Automattic,"Sorry could you expand on this, how can they &quot;put a banner in [...] WordPress instances hosted by WPE&quot;?<p>I was under the assumption that WordPress is OSS, and WPEngine is running this software on their platform, so there was an update to this software, contributed by Automattic developers which included a banner denouncing WPE, and the WPE people decided to just deploy that update to their platform?<p>I don&#x27;t think that means they &quot;put the banner on their instance&quot; does it? If they are unhappy with the management of the open source software they are using on their platform they presumably could fork it, or decide to not deploy the version that includes this banner, no?",on_topic
de88b5f950159eda,worker,2011,,AWS Service Disruption Post Mortem,"An automatic 100% credit for 10 days usage, thats pretty good IMO",junk
eb6ef31a3806289d,firm,2020,wordpress.org/about,Our Mission,"WordPress is software designed for everyone, emphasizing accessibility, performance, security, and ease of use. We believe great software should work with minimum set up, so you can focus on sharing your story, product, or services freely. The basic WordPress software is simple and predictable so you can easily get started. It also offers powerful features for growth and success. We believe in democratizing publishing and the freedoms that come with open source . Supporting this idea is a large community of people collaborating on and contributing to this project. The WordPress community is welcoming and inclusive. Our contributors’ passion drives the success of WordPress which, in turn, helps you reach your goals. The Technology Learn about the software The Community Learn about the people WordPress contributors work around the globe, and have dedicated countless hours to build a tool that democratizes publishing. WordPress is open source software that is both free and priceless.",canon
9ff568563164bdfa,firm,2021,wordpress.org/about,Our Story,"WordPress started in 2003 when Mike Little and Matt Mullenweg created a fork of b2/cafelog . The need for an elegant, well-architected personal publishing system was clear even then. Today, WordPress is built on PHP and MySQL, and licensed under the GPLv2. It is also the platform of choice for over 39% of all sites across the web. The WordPress open source project has evolved in progressive ways over time — supported by skilled, enthusiastic developers, designers, scientists, bloggers, and more. WordPress provides the opportunity for anyone to create and share, from handcrafted personal anecdotes to world-changing movements. People with a limited tech experience can use it “out of the box”, and more tech-savvy folks can customize it in remarkable ways.",on_topic
