chunk_id,year,heading,text,label
9192e39f68c2b0f6,2025,"Mobile devices, Windows and Linux","Devices running Android, iOS/iPadOS, Windows or Linux are currently unmanaged. It’s fine to install our BC4 and HEY apps on these devices to access work projects and email, but since they’re unmanaged – and therefore ‘untrusted’ – it’s not okay to store 37signals code or secrets on them. If you’re coding or accessing secure systems, you should be doing so on a Kandji-managed Mac.",navigation_junk
b1acaed38757fb87,2010,Meet the leadership team.,"Jason Fried Jason Fried is the co-founder and President of 37signals. Jason believes there’s real value and beauty in the basics. Jason co-wrote all of 37signals books, and is invited to speak around the world on entrepreneurship, design, management, and software. David Heinemeier Hansson David Heinemeier Hansson is a partner in 37signals. He has been working with the Net with varying levels of success since 1996 — in the fields of game journalism, marketing, project management, design, and development. In July 2004, he released the framework Rails (also known as Ruby on Rails ). It’s the infrastructure software that is used to build all the applications at 37signals and thousands of other popular sites. Jeff Bezos, Advisor Jeff Bezos, CEO of Amazon.com, has always been interested in anything that can be revolutionized by computers. Intrigued by the amazing growth in use of the Internet, Jeff created a business model that leveraged the Internet’s unique ability to deliver huge amounts of information rapidly and efficiently. In 1994 he founded Amazon.com, Inc., the leading online retailer that offers services which traditional retailers cannot: lower prices, authoritative selection, and a wealth of product information. Jeff Bezos is the sole investor in 37signals.",employee_story
bd709ae3fa36d636,2019,"Security, Infrastructure & Performance (SIP)","SIP is our instant-response team whenever something goes wrong, is about to go wrong, or is expected soon to go wrong! Our galaxy defenders, if you will. They are the primary programming team working together with Operations to ensure that our applications are always safe, secure, and fast. Jeremy Daer is the team lead and works with George Claghorn, Rosa Gutiérrez, Justin White, and Jorge Manrubia.",job_listing
51edd77bd3ed66d2,2020,Modifications to the Service and Prices,"We make a promise to our customers to support our Services until the end of the Internet . That means when it comes to security, privacy, and customer support, we will continue to maintain any legacy Services. Sometimes it becomes technically impossible to continue a feature or we redesign a part of our Services because we think it could be better or we decide to close new signups of a product. We reserve the right at any time to modify or discontinue, temporarily or permanently, any part of our Services with or without notice. Sometimes we change the pricing structure for our products. When we do that, we tend to exempt existing customers from those changes. However, we may choose to change the prices for existing customers. If we do so, we will give at least 30 days notice and will notify you via the email address on record. We may also post a notice about changes on our websites or the affected Services themselves.",navigation_junk
c5d4c5ca30899438,2021,The Basecamp Employee Handbook,"Everything you need to know about making a career at Basecamp. For over 10 years, we didn’t have a handbook. In those 10 years, when a new person joined the company, they were expected to figure things out for themselves. But when we grew from a company of 10, 20, 30 employees to a company of over 50, our “introduction by immersion” style stopped working. New hires felt lost and isolated, and their first weeks or even months on the job were stressful because of it. It can be unnerving to join any company, but perhaps Basecamp in particular, given how different some of our practices are. There’s as much to unlearn as there is to learn. Prior to this handbook, navigating that path was both somewhat random and almost entirely oral. For a company that prides itself on clarity and writing, that just wasn’t right. So, this is where we’ll try to share what’s worth knowing about Basecamp the company, our culture, our process, and our history. It’s a guide to understanding what people are talking about when they call for “judo” (redefining a hard problem into an easy one), whether it’s okay to take your vacation when you’ve only been with us for a month (yes), what a meet-up is and why we call it an eat-up (hint: food… lots of food), and hopefully everything in-between.",mission_brand
a2188b17fab83b6c,2020,,Heads up! This page uses features your browser doesn't support. Try a modern browser like Firefox or Chrome for the best experience.,navigation_junk
0fc79bd0d1ef4341,2017,Always at your service,"If you have a general question for us, just drop us an email at email@basecamp.com and we’ll get back to you within a day. If you’re a customer, and you want to talk to someone in customer service, drop an email to support@basecamp.com and we’ll get back to you right away. We love sharing our ideas on business, culture, design, and technology with the world. You can watch presentations we’ve given on these topics, and read up on what we’ve been thinking lately on our company blog . You can also follow along on Twitter @basecamp , Facebook , Instagram @basecamp and YouTube . You can reach out directly to Jason Fried, our CEO and co-founder, at @jasonfried on Twitter, and David Heinemeier Hansson, our CTO and co-founder, at @dhh . If you’re just browsing, enjoy your stay. If you’d like to become a customer, we’d love to have you. Either way, thanks for visiting Basecamp.",process_logistics
ce37181a57b329eb,2020,HEY,"HEY is our love letter to email. While our internal communications are almost exclusively in Basecamp (with code reviews in GitHub the primary exception), we still correspond with some external service providers and customers via email. Every time we needed to do that, we felt the drag: how much harder it was to manage and stay on top of email. So we eventually decided to do something about it. After over two years of work, we launched HEY in June 2020.",process_logistics
b5324f3e602c1082,2020,Sophisticated physical security.,Our state-of-the-art servers are protected by biometric locks and round-the-clock interior and exterior surveillance monitoring. Only authorized personnel have access to the data center. 24/7/365 onsite staff provides additional protection against unauthorized entry and security breaches.,navigation_junk
c464dc91aebca547,2020,Investing in things that don’t go out of style,"The best business advice we ever got is from Jeff Bezos from Amazon.com (Jeff bought a small piece of our company in 2006). He told us “Find the things that won’t change in your business and invest heavily in those things.” He explained it like this… “Take Amazon for example… 10 years from now people aren’t going to say ‘I wish Amazon shipping was slower’ or ‘I wish Amazon had a worse selection’, so we invest heavily in fast shipping and a broad selection.” So what are those things for us? 10 years from now people aren’t going to say “I wish Basecamp was harder to use” or “I wish Basecamp was slower and less reliable” or “I wish it took longer to get an answer from someone at Basecamp”, so we invest heavily in infrastructure, great design, and customer service. We don’t chase fads and trends, we stay focused on the things that will always be important.",mission_brand
