chunk_id,year,heading,text,label
0706864fb37a5caf,2021,Self-care.,"Health, dental, and vision; One Medical; Spring Health mental wellbeing; Calm membership.",benefits_perks
7043c572ad3fd39f,2025,,Brex didn’t just talk about dreaming big — they operationalized it. That mindset pushed me to start something of my own.”,employee_story
b8f3dfd5ec099def,2026,"San Francisco, California, United States","Brex is the AI-powered spend platform. We help companies spend with confidence with integrated corporate cards, banking, and global payments, plus intuitive software for travel and expenses. Tens of thousands of companies from startups to enterprises — including DoorDash, Flexport, and Compass — use Brex to proactively control spend, reduce costs, and increase efficiency on a global scale. Working at Brex allows you to push your limits, challenge the status quo, and collaborate with some of the brightest minds in the industry. We’re committed to building a diverse team and inclusive culture and believe your potential should only be limited by how big you can dream. We make this a reality by empowering you with the tools, resources, and support you need to grow your career. Sales at Brex Sales is the growth engine at Brex. We bring in new customers, expand existing relationships, and drive the company’s bottom line. With unlimited territories and uncapped opportunity, your ambition sets the ceiling. We win together, celebrate often, and reward performance. If you want to sell a category-defining product with real ownership, this is your team. What you’ll do As a Startups Ambassador at Brex, you’ll be the face of our brand in the startup ecosystem by building trusted relationships with top-tier VC's and high-growth founders. You’ll represent Brex in the market by hosting events, driving engagement, and creating meaningful connections that bring value to the startup community. Your main focus will be to grow Brex’s presence within key venture networks by establishing and deepening partnerships, acquiring new customers, and fostering a strong local community. Success will be measured by your ability to bring in new startups, expand Brex’s market share among top partners, develop new channel relationships, and deliver high-quality experiences that strengthen Brex’s position within the startup space.",mission_brand
f553f04669430530,2023,,"Brex recruiters will only contact you via LinkedIn or a brex.com email address. If someone claiming to be from Brex contacts you in another way, it may be a scam and should be ignored.",process_logistics
01692d4817cb220d,2023,"Brex empowers every employee to reach their full potential, regardless of race, gender, ethnicity, sexual orientation, or background.","Having candid conversations about race helps us close gaps and create a cohesive culture where backgrounds and experiences are better understood and welcomed. We are increasing awareness of differing experiences through Cultural Heritage Months, company events, and comprehensive diversity training.",mission_brand
8254e96ffd3804f2,2022,Sales ( 5 ),"Brex makes CNBC's 2021 Disruptors list of 50 companies leading the next generation of business. Forbes ranks Brex as one of the 11 biggest fintech companies in America, with a valuation of $7.4B. At Y Combinator, they noticed how difficult it was for entrepreneurs to get bank credit from traditional sources. Brex, which was co-founded by Henrique Dubugras and Pedro Franceschi, raises $425M at a $7.4B valuation in April 2021.",navigation_junk
1926733962b0b425,2023,Join us and empower the next generation of business.,"Positions are eligible for work anywhere in the U.S. and Canada, excluding Hawaii at this time.",process_logistics
0591196bdb9eeaa8,2026,Canada,"As a Senior Application Security Engineer, you will focus on finding and responding to security vulnerabilities across the Brex platform. In this role, you will perform code reviews, design reviews, penetration testing, and vulnerability management. You will develop and maintain tooling to perform static and dynamic testing of the Brex platform and tooling which supports secure developer workflows. Application Security is part of our wider Financial Scale organization, which means you will work closely with Security Operations, GRC, Product Security, Front End Platform, IT Infrastructure teams. We’re looking for individuals with a strong background and interest in penetration testing. You should have a demonstrated ability to find vulnerabilities in complex systems and craft exploits to demonstrate business impact. This role is highly cross functional and collaborative, you will have the opportunity to work with every engineering team across Brex. You should be enthusiastic about working with a variety of backgrounds, roles, and needs. Building a world-class financial service requires world-class security. Brex is pioneering the next wave of AI-driven financial services for dynamic, high-impact companies like Coinbase, Robinhood, and Anthropic. We're at the early stages of integrating AI across our product suite, this role will have the opportunity to influence and secure the future of AI Security at Brex. You'll be at the forefront of securing our novel AI implementations, identifying attack vectors in agentic-powered features, and partnering with product and engineering teams to build AI capabilities that our customers can trust with their critical financial operations. Identifying vulnerabilities, demonstrating business impact, and articulating the risk of specific vulnerabilities to drive prioritization efforts Perform penetration testing and design reviews, looking for vulnerabilities and insecure designs, work with engineering and product to design secure product features",job_listing
26377cc9d46110f1,2022,Join us and empower the next generation of business.,"Positions are eligible for work anywhere in the U.S. and Canada, excluding Hawaii at this time. Brex makes CNBC's 2021 Disruptors list of 50 companies leading the next generation of business. Forbes ranks Brex as one of the 11 biggest fintech companies in America, with a valuation of $7.4B. At Y Combinator, they noticed how difficult it was for entrepreneurs to get bank credit from traditional sources. Brex, which was co-founded by Henrique Dubugras and Pedro Franceschi, raises $425M at a $7.4B valuation in April 2021.",mission_brand
cb60e10707809a53,2021,"Software Engineer, Frontend (Remote)","As a Frontend Engineer, you will be working across the entire Brex stack, creating and maintaining new products, features, and building tools to help scale Brex. You will have the opportunity to learn and push the frontier of providing the best financial software experience to help companies grow. You’ll be encouraged to be metric and data-driven and to think creatively to help Brex scale and get prepared for the new markets we are about to enter. We’re looking for folks with not only an interest in building products and tools but also interested in leading multi-functional projects with lots of moving pieces. In this role, you’ll have the opportunity to drive direct business impact and shape our long-term technical vision with a high quality bar. Work with engineers across the company to build new features and products. Work side-by-side with user facing teams (Sales, Support) to best understand the needs of our customers. Design and implement experiments to improve our customer’s experiences. Own problems end-to-end, thinking through everything from user experience, data models, scalability, operability and ongoing metrics. Experience architecting, developing, and testing client-side code end to end Experience developing software for the Web platform, including cross-browser compatibility Experience with modern tools like ES6, React, Redux, Apollo, Vue.Js, Flux & Webpack Experience collaborating with specialist in product, design, and operations Experience with developing in React Native for mobile",job_listing
