chunk_id,year,heading,text,label
9dec1e00fbdddf46,2019,Earn up to $130 worth of crypto,Discover how specific cryptocurrencies work — and get a bit of each crypto to try out for yourself.,navigation_junk
3b84e2c2ab21e688,2021,"Innovators and entrepreneurs thrive at Coinbase, thanks to our culture of repeatable innovation. We dedicate 10 percent of our resources on truly disruptive bets. We make it easy for anyone in the company to dream up new ideas, and bring them to market.","“I’ve worked on Wall Street, I’ve worked in government, and as an entrepreneur. With cryptocurrency, we’re doing something totally new that could change the world. That sets us apart, not just from other financial services companies, but from almost any other organization.“ “People here don’t just care about what you know, they care about you as a person. When you interview here, it’s not about just whether you’ll be good for Coinbase, but if Coinbase will be good for you.” “Coinbase is growing fast, but there are still more challenges than there are people. So if finding and solving problems lights you up, you’ll have fun here.” “I love that while people care about our mission for a variety of reasons, we all come together as a high-performing culture. As with any job, there are times when it’s hard, but it's easy to stay motivated working with passionate people.” “Especially in our engineering culture, we deliver on our value of continuous learning. There are tons of internal presentations and work shares, which is awesome when so many groups are working to solve really interesting problems.”",employee_story
b5c9d8f1e74c3bc6,2013,Open Positions,"Managing, prioritizing, and responding to inbound emails relating to Coinbase's platform Identifying common trends within support emails to pre-empt issues and bugs Monitor transactions happening on the platform, identifying fraudulent activity and correcting transfers when needed Collaborate and communicate with the product engineering team to identify which issues and bugs require immediate attention Exercising sound judgement when corresponding with customers A passion for building the bitcoin community Any experience dealing with time pressured situations and/or high value accounts Something that demonstrates your bitcoin or technical prowess A brief answer to the following question: If you could add anything to Coinbase, what would it be? Source and evaluate potential merchants to integrate with the Coinbase platform as well as identify other growth opportunities Qualify and lead exploratory discussions with potential merchants Collaborate with the support team to complete merchant integrations Experience integrating technical products in sales, consulting, or engineering capacity Track record of seeding adoption on a new product, or payments industry experience a plus A passion for spreading bitcoin payments to merchants around the world Whatever you think best shows your strengths - something you've built would be a good example A brief answer to the following question: Who's the first merchant you would onboard to Coinbase and how would you do it? Translate high-level conceptual product ideas into well-designed features Implement user flows, interactions and experiences that are simple, intuitive, and consistent across web and mobile platforms Ability to bring designs to life with HTML/CSS/Javascript and commit code A brief answer to the question: What's the first thing you would redesign at Coinbase? Source and recruit candidates who would make great additions to the Coinbase Help candidates through the interview process with scheduling and travel arrangements Help new employees at Coinbase with onboarding and training during their first week",job_listing
9f2e939b00df6efa,2021,Commitment to Equal Opportunity,"Coinbase is committed to diversity in its workforce and is proud to be an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, sex, gender expression or identity, sexual orientation or any other basis protected by applicable law. Coinbase will also consider for employment qualified applicants with criminal histories in a manner consistent with applicable federal, state and local law. For US applicants, you may view Pay Transparency , Employee Rights and Equal Employment Opportunity is the Law notices by clicking on their corresponding links. Additionally, Coinbase participates in the E-Verify program in certain locations, as required by law. Coinbase is also committed to providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process, please send an email to accommodations[at]coinbase.com and let us know the nature of your request and your contact information. For quick access to screen reading technology compatible with this site click here to download a free compatible screen reader (free step by step tutorial can be found here) .",legal_boilerplate
71b4ecc9811f56c9,2021,Our mission,"We believe that a robust cryptoeconomy can unlock innovation, economic freedom, and equality of opportunity. Everyone at Coinbase plays an important role in helping us achieve our mission .",mission_brand
3ba1cbf60cf96d00,2017,,Please note that Coinbase no longer supports this browser. We recommend upgrading to the latest Google Chrome or Firefox .,navigation_junk
3298621f143b02a5,2017,Coding Challenge,Are you an software engineer interested in working with us? Please take our online coding test to show us your skills and get your name in front of the right people.,process_logistics
9ba129d96d695ed5,2018,,Please note that Coinbase no longer supports this browser. We recommend upgrading to the latest Google Chrome or Firefox .,navigation_junk
e9dd41fb51d26bcd,2026,Contract roles,Support our core mission with a flexible contract role via our Managed Service Provider.,job_listing
228dc68bc05247a1,2026,Apolitical,"Our mission is ambitious and important. We don’t engage in social or political activism that is unrelated to our mission while at work. We seek to make the workplace a refuge from division, so we can stay focused on making progress toward the mission.",mission_brand
