chunk_id,year,heading,text,label
89b118fb0062cab6,2025,Learning & Development,Learn in-demand skills with access to platforms like LinkedIn Learning and Level Up,
5d7d9555166c0a75,2021,So that's what it's like to work at GitLab…,"Being new to GitLab, our CRO, Michael McBride joined Sid in meeting with customers in New York City, USA where customers got a glimpse of what it's like to work at GitLab for him",
9da6380e54af2ea9,2014,service engineer North- or South America,"GitLab B.V. is growing quickly and we would love to grow our team with a service engineer. The rising popularity of GitLab means that our professional services are in high demand. If you got the skills to help to our clients we would love to talk to you. Because most of our clients are in the United States you will need to be in a timezone near there. We are open to candidates who are located from Pacific Standard Time (-8) to Atlantic Standard Time (-4). If you are a vampire you can be located from Moscow Standard Time (+4) to Singapore Time (+8). We’re open to candidates from both inside and outside the United States. You would be engaging with our customers, this can be anything from as small advertising firm, a university to Fortune 100 clients. You have appointments throughout the day with clients that have filled out a small questionnaire. You get remote access to their GitLab server(s) and diagnose, upgrade, troubleshoot, configure, backup and reinstall it. During the the appointment you keep in touch with the client through chat or video conference. When you do not have an appointment you engage with the rest of the core team to improve GitLab. You fix problems, add features, improve documentation, polish the website and engage with people on various forums. You need to have experience with Unix and need to be able to program. Most clients will run RedHat or Debian variants and GitLab is written in Ruby on Rails. But we are open to people who for example love Solaris and C, as long as you like Unix and programming you will fit right in. You don’t have to be an English native but good written and verbal English is a must to engage with clients.",
04bafc436359381e,2018,Country Hiring Guidelines,"Each country has unique rules and regulations affecting a company’s ability to conduct business in that country, as well as the employability of its citizens. These rules can be complex. Therefore, at this time we are unable to hire employees and contractors in the following locations: In countries listed in our contract_types.yml file we have a payroll and can employ you as an employee. In all other countries we can hire you as a contractor.",
d8973afdf790152a,2021,Advantages,"Top 10 reasons to work for GitLab: Work with helpful, kind, motivated, and talented people. Work remote so you have no commute and are free to travel and move. Have flexible work hours so you are there for other people and free to plan the day how you like. Everyone works remote, but you don't feel remote. We don't have a head office, so you're not in a satellite office. Work on open source software so you can interact with a large community and can show your work. Work on a product you use every day: we drink our own wine. Work on a product used by lots of people that care about what you do. As a company we contribute more than we take, most of our work is released as the open source GitLab CE. Focused on results, not on long hours, so that you can have a life and don't burn out. Open internal processes: know what you're getting in to and be assured we're thoughtful and effective.",
e92e15f82fa887e8,2020,Team Stories,"What better way to convey a sense of who we are and how we work together, than by sharing the stories about it?",
e3e0d22c91889d40,2016,Questions?,"For further questions about our hiring process or posted jobs, please feel free to send an email to jobs@gitlab.com.",
470b88cb1e335960,2018,Vacancies,"All of our vacancies are hosted on our applicant tracking system (ATS), Lever . The below list will dynamically load our current vacancies from Lever; if you do not see the list, please view the vacancies directly on Lever .",
b3abd44427092f24,2022,"October 10th, 2015",Anniversary of our first ever summit in Amsterdam with 25 GitLab team-members.,
12ccf06cdbfb1f56,2016,We don't work with recruiters,"We do not accept solicitations by recruiters, recruiting agencies, headhunters and outsourcing organizations. If you email us we'll reply with a link to this paragraph to indicate we would very much appreciate it if you stop emailing us and remove us from any marketing list.",
