chunk_id,year,heading,text,label
1f48bbf4d2dfa488,2017,Give back,We value giving back to the community just as much as we value the products we create. We match Googlers’ charitable donations and add donations for hours Googlers work as volunteers.,benefits_perks
6354369022eb470d,2010,Learn more about …,"To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes. Google is an equal opportunity employer. Employment here is based solely upon one’s individual merit and qualifications directly related to professional competence. We don’t discriminate on the basis of race, color, religion, national origin, ancestry, pregnancy status, sex, age, marital status, disability, medical condition, sexual orientation, gender identity, or any other characteristics protected by law. We will also make all reasonable accommodations to meet our obligations under the Americans with Disabilities Act (ADA) and state disability laws.",legal_boilerplate
23413d78c57db2f2,2007,,"Can one conversation change the world? Quick and direct access to information can deliver news from abroad, encourage a child's curiosity, and reunite long-lost friends. It can also produce ideas that transform how people live their lives. At Google, our strategy is simple: we hire great people and encourage them to make their dreams a reality. We believe in hard work, a fun atmosphere, and the sort of creativity that only comes about when talented people from diverse backgrounds approach problems from varying perspectives. Googlers have been Olympic athletes and Jeopardy champions; professional chefs and independent film makers. And whether you work at our headquarters in Mountain View, California, or in any of our locations around the world, we think you'll find Google a place where you can aspire to outsized accomplishments. There's still so much for us to dream and do. Find an opening in the U.S. (view our internati By Searching U.S. Openings (e.g. Engineer ""Software QA"") Life at Google Google offers the freedom of a startup with the stability of a large, profitable and growing company. Our most valuable resource is our people: energetic, innovative thinkers who care equally about doing great work and developing a culture that's great for all our employees. • What's it like to work at Google? • Benefits of working at Google • The engineer's life at Google and what we do . • Information for students What's going on at Google? • Google recognized by Fortune Magazine among 100 Best Companies to Work For • Google announces partnership with Teach for America. • Google Anita Borg Scholarship accepting US and Europe applications until January 2007. • Google selected by U.S. undergraduate and MBA students as an ideal employer in 2006 Universum Survey . • Google Ireland recognized among Best Companies to Work For . • Check our Google Blog or subscribe to the Google Friends newsletter . To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes.",mission_brand
0f5ba6b94a33296c,2024,Platforms & Ecosystems,Work on our innovative software products that have an impact on people’s lives across the world.,job_listing
629afb5b5144b50b,2012,Teams and Roles,"Interested in joining us, but not sure where to start? We’ve got you covered. Check out our teams and roles to learn more about opportunities to do cool stuff that matters. Still a student? This way to our student site .",process_logistics
c19ed14501ab7bd4,2012,Product management,"We’re responsible for guiding products throughout the execution cycle, focusing specifically on analyzing, positioning, packaging, promoting and tailoring our solutions to all the markets where Google does business.",job_listing
9b9df9b2656b3663,2012,Engineering operations,"Engineers tackle such challenges as building a highly scalable computing infrastructure, novel storage systems, innovative user experiences, or the next big application that will change the world.",job_listing
8c8d3ba81af6eb4f,2011,Finance,"Here in Google Finance, we focus on developing global processes, providing financial analysis, and managing financial operations so that Google remains a vibrant and healthy enterprise.",job_listing
6ee7e477778850bb,2024,Consumer Hardware,Design and build the systems that are the heart of the world's largest and most powerful computing infrastructure and products.,job_listing
86df64683254c612,2010,Let’s work together.,"At Google, we understand that our worldwide success results from our globally diverse workforce. In every Google office, you will find challenging projects and smart people with potential to change the world. Googlers relish the freedom to create the next generation of web technologies in an environment designed to foster collaboration, creativity, health, and happiness. What’s it like to work at Google ?",mission_brand
c2e6c8d7846732e2,2019,Product Marketing Manager,"Create and execute innovative marketing strategies that drive awareness, engagement and product adoption.",job_listing
6b07eefa4070f14b,2025,Our locations,"Large or small, each one of our offices is designed to inspire innovation, big ideas, and community.",mission_brand
59786296b8dafa66,2015,Need for speed: How Matt helped Google Fiber upgrade internet service,"At Google, speed is key. Business analysts and engineers alike create solutions at an incredible ...",mission_brand
be848cb87084d566,2009,Collaboration is key,"See why we are one of the top 100 places to work. Read the Fortune article (PDF). To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes. Google is an equal opportunity employer. Employment here is based solely upon one’s individual merit and qualifications directly related to professional competence. We don’t discriminate on the basis of race, color, religion, national origin, ancestry, pregnancy status, sex, age, marital status, disability, medical condition, sexual orientation, gender identity, or any other characteristics protected by law. We will also make all reasonable accommodations to meet our obligations under the Americans with Disabilities Act (ADA) and state disability laws.",legal_boilerplate
aed78fd4c58bb1aa,2016,People,"Find, grow, and support the people who make Google great.",job_listing
75cdf63dd6987294,2014,Need for speed: How Matt helped Google Fiber upgrade internet service,"At Google, speed is key. Business analysts and engineers alike create solutions at an incredible ...",mission_brand
9703b8f8421aa661,2007,,"Enjoy what you do, where you do it, and the people you do it with. What is it that you really want to do? Your master plan, not just your 5-year plan. At Google, our strategy is simple: we hire great people and support them in turning their aspirations into reality. We work hard here, and play here, and dream here. Googlers are bright, passionate people with diverse backgrounds, coming together to create a unique culture. One where the open exchange of ideas is encouraged and thinking beyond the norm is expected, no matter what position you happen to hold. Working at Google is as much a mindset as it is a job. What's it like to work at Google? Find out now . Search openings At Google, our strategy is simple: we hire great people and encourage them to make their dreams a reality. Search U.S. openings (e.g. Engineer ""Software QA"")",mission_brand
6b9c0a5fb45d299a,2007,,"Can one conversation change the world? Quick and direct access to information can deliver news from abroad, encourage a child's curiosity, and reunite long-lost friends. It can also produce ideas that transform how people live their lives. At Google, our strategy is simple: we hire great people and encourage them to make their dreams a reality. We believe in hard work, a fun atmosphere, and the sort of creativity that only comes about when talented people from diverse backgrounds approach problems from varying perspectives. Googlers have been Olympic athletes and Jeopardy champions; professional chefs and independent film makers. And whether you work at our headquarters in Mountain View, California, or in any of our locations around the world, we think you'll find Google a place where you can aspire to outsized accomplishments. There's still so much for us to dream and do. Find an opening in the U.S. ( Internati By Searching U.S. Openings (e.g. Engineer ""Software QA"") Life at Google Google offers the freedom of a startup with the stability of a large, profitable and growing company. Our most valuable resource is our people: energetic, innovative thinkers who care equally about doing great work and developing a culture that's great for all our employees. • What's it like to work at Google ? • Benefits of working at Google • Google celebrates diversity • The engineer's life at Google and what we do . • Information for students What's going on at Google? • Google recognized by Fortune Magazine among 100 Best Companies to Work For • Google announces partnership with Teach for America. • Google selected by U.S. undergraduate and MBA students as an ideal employer in 2006 Universum Survey . • Check our Google Blog or subscribe to the Google Friends newsletter . To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes.",mission_brand
a0095690a14f8940,2009,Learn more about …,"To all recruitment agencies: Google does not accept agency resumes. Please do not forward resumes to our jobs alias, Google employees or any other company location. Google is not responsible for any fees related to unsolicited resumes. Google is an equal opportunity employer. Employment here is based solely upon one’s individual merit and qualifications directly related to professional competence. We don’t discriminate on the basis of race, color, religion, national origin, ancestry, pregnancy status, sex, age, marital status, disability, medical condition, sexual orientation, gender identity, or any other characteristics protected by law. We will also make all reasonable accommodations to meet our obligations under the Americans with Disabilities Act (ADA) and state disability laws.",legal_boilerplate
f7518a110b99eb43,2012,Advertising & Enterprise Sales,"Google’s Sales team is devoted to finding relevant solutions that meet our clients' changing advertising needs. We are dedicated to expanding and supporting the company’s global base of advertisers, publishers, and users in more than 40 languages, and providing the highest levels of service.",job_listing
571f5da0382b3f70,2012,Human resources,"Google’s HR team – which we call People Operations – is focused on working closely with our management teams to attract, hire, develop, and reward talented people.",job_listing
3cc2974bda0f3a20,2015,Going green for good,We want people to feel good about using Google products. One way we try to ...,mission_brand
5f31e7d760df29ab,2016,Google Cloud,"Help millions of organizations empower employees, serve customers, and build what’s next.",job_listing
e390ba5de97e08e1,2025,Silicon Engineering roles,"Design and enhance silicon systems, powering products that shape the future.",job_listing
9870e120f5ab743e,2015,Do Cool Things That Matter,"Googlers solve complex problems everyday in the name of our core mission to organize the world’s information and make it universally accessible to our users. But what makes working at Google truly unique is the workplace culture that encourages innovation and a healthy disregard for the impossible. Watch Alan Eustace, SVP of knowledge, explain the secret ingredient that makes Google a great place to work: our people.",mission_brand
