chunk_id,year,heading,text,label
f0c68080fa6f5437,2010,Babies in the Workplace,"There are many unusual aspects of our culture here at Menlo, but perhaps the most intriguing is the “bring your baby to work” benefit. A few years ago Maggie was born. Tracy (her mom) took off a couple of months for maternity leave, then came in one day to tell me she was ready to come back to work. “Great!” I said, “We missed you!” “There’s just one problem,” she said, “Maggie is too young for day care.” I paused just a moment, rapidly thinking through the ramifications of what I was about to say. “Bring her in to work,” I said. Tracy looked at me funny and said, “All day?” She looked around the Menlo Software Factory™ contemplating the possibilities, and then asked the logical question, “Where would I put her?” I said, “She’s not going anywhere. Put her in a bassinet on the floor near where you’re working.” “What if she makes a fuss?” I said, “Here? No one will notice it! It’s too noisy! Besides, I trust that you’ll do the right thing for the team if it gets too disruptive. Let’s run the experiment.” It turned out that Tracy had little to worry about. Maggie stayed with us for about six months. When she fussed, it was seldom Tracy that had to rescue her. The team raised Maggie.",
fa53b73ba3ed6206,2006,menloinnovations.com/founders/sheridanbio.htm,"Past Speaking Engagements Rich is in great demand as a speaker. He has recently spoken at the following events: Ann Arbor Oracles User's Group Detroit Oracle User's Group Michigan Quality Conference The Ann Arbor Chamber of Commerce The Ypsilanti Chamber of Commerce NEF Forum PMI - Huron Valley Chapter Monthly Meeting Schoolcraft College VistaTech Grand Opening In addition to being featured in Forbes magazine, he has also been interviewed by Fast Company and has been featured on the Michigan Radio Beat program. To book Rich Sheridan for your next event, contact Rich Roberts at 734-665-1847.",
b57b56c1cfc9a3d4,2019,High-Tech Anthropologists®,"High-Tech Anthropologists® skills include the ability to discover end user goals and tie them to business objectives. As our projects evolve, it is important for HTAs to be able to see the big picture while working on the finer details. They must have the ability to deal with ambiguity and abstraction. HTAs must be able to apply the gathered requirements to hand-sketched design mock-ups for testing and demonstrate a willingness to make mistakes and adjust accordingly. Essential skills: curiosity and empathy.",
d5067b3164c98fb7,2026,menloinnovations.com/careers,"Menlo Innovations is an equal opportunity employer. We are committed to providing a work environment that is free of discrimination and harassment. All employment decisions at Menlo Innovations are made without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, veteran status, or any other legally protected characteristic. We encourage applicants of all backgrounds to apply.Roles",
620ab30e3390cb27,2010,Suggested Reading,"Small Giants: Companies that Choose to be Great Rather Than Big by Bo Burlingham. This powerful, counter-culture concept is a wonderful extension to Jim Collin’s thinking in Good to Great. Too often, companies believe growth is the only path to success and reward, yet we are reminded everyday of large companies who have lost their focus, lost their will and lost their “mojo” as Burlingham refers to it. This book is incredibly reassuring to those of us at Menlo Innovations who are focused on building a great software design and development team of about 100 people and that’s it. We believe we can slay the world with a team of that size. Bigger than that, and we begin to lose our “mojo”. We will use this team to supercharge the business of our clients and in many cases we will take a leveraged stake in the business of our clients to achieve what I think is business nirvana: “revenue growth without expense growth”. No offshore, no remote offices, no franchises, no sprawling campus … just a tightly focused team, a great culture, a well understood process and wonderful relationships with our clients and a team who one day I hope we can make financially independent and still want to come to work the next day!",
549faee128d8a73e,2010,Suggested Reading,"The Experience Economy by Pine and Gilmore. Do people value an experience? So much so that they are willing to pay for it? Should companies be thinking about the experience they are providing to their customers? The answer to all of these is overwhelmingly YES! At Menlo we apply the idea of “experience” in two areas: the “experience” provided to our clients who engage us at the Menlo Software Factory(TM) either for projects or training, and then the experience we are creating for the users of the software we build. Pine and Gilmore do an excellent job of walking us through the value equation of many business models that move from commodities to products, products to services, and from services to experiences. We pay pennies per cup when we buy coffee in bulk and grind it ourselves, nickels when Maxwell House does it for us, dimes when the waitress at The Broken Egg endlessly fills our cup for us, and dollars per cup when Starbucks delivers their great “barrista experience”. The commodity is still at the heart of all of these price points. The difference is the experience. This becomes truly powerful when you consider the implications of delivering an experience that can create an authentic transformation. This is what we are trying to achieve for our clients at Menlo and this book has put words to many of the concepts we have bee pursuing for years. This is a must-read for those seeking to dominate their market.",
8d3187a6736f617e,2026,menloinnovations.com/,"Our tours of Menlo Innovations' factory floor have now gone virtual. We'll spend 90 minutes together sharing Menlo's history, values, culture and practices - and how we've transitioned to where we are today. Take one of our virtual Factory Tours!",
667466fd8ae5bf4c,2010,Shouldn’t We Spend More Time Writing Requirements?,"At Menlo we combine High-Tech Anthropology® with agile software development. We find that agile teams allow us to deliver our projects faster and with better results – including increased adoption of the software by the user community. I’m often asked, “Shouldn’t we spend more time writing requirements?” The subtext to this question is “If creating usable software is so important, shouldn’t we spend more time getting the requirements and user interface specification perfect before writing even a single line of code?” The obvious answer would seem to be yes, spend months or years, however long it takes to get the requirements right. Unfortunately, this answer is wrong. Too many times I’ve heard the story of a “year long specification process” that ended in no results at all. “We had one of those kind of projects”, lamented a student once at a class I was teaching. “We spent $18M and a year developing the specification and when we got done, we threw it away.” Sensing the entrepreneurial opportunity, I quickly responded that I would be happy to write the next throwaway spec for half that price! “That’s only the half the story” he went on. “The first time we spent $30M with the same results.” I asked if the story was really accurate and another student replied “Rich, the real question is, which one of our four projects that failed like that was he referring to?” One organization spent close to $100M to gather requirements, that resulted in no working system. There are many reasons efforts like this fail. One I would like to focus on today is that fact that many organizations spend too much time and money writing requirements without getting working systems in front of real users. This is one problem that agile software development seeks to solve.",
359822672b6c7576,2010,Suggested Reading,"Refactoring: Improving the Quality of Existing Code by Martin Fowler. Chapter 4 introduces what I like to call the most revolutionary practice in software development to occur during my career: Junit — the automated unit testing framework for Java. This simple concept is the equivalent of the discovery of Bernouilli’s principle as applied to airplane wing design. It makes everything else possible. It astounds me how few software teams actually apply this simple principle to their efforts even though Fowler and Beck introduced this concept in 1999. Ah, there’s that “Diffusion of Innovations” problem! Planning Extreme Programming by Kent Beck and Martin Fowler. Starts the discussion of how exactly to we plan an agile, iterative and incremental software development practice. It enables us to put the business in control of software projects rather than the technical team. Probably worth noting that Menlo’s “Project Planning Origami™” is first officially described on page 81 of this book as James Goebel describes our planning game tools as first used in the Java Factory at Interface Systems. Design Patterns: Elements of Reusable Object-Oriented Software by “The Gang of Four.” We tend to put less faith in reusable code (as that mission often interferes with accomplishing real business goals) and far more faith in reusable ideas. This book details many reusable ideas that once mastered by a team of developers can often speed up the conversation of software structural engineering and ultimately greatly speed up the actual development.",
e90c6dc3b80fecaf,2012,How I Hired Someone On Craigslist And Quadrupled My Productivity,"This reminds of of pair programming, or pair <i>everything</i> like they do at Menlo Innovations [1]. I took a tour there recently and it was pretty eye opening. People are now even paying to learn the ""Menlo Way""<p>[1] <a href=""http://www.menloinnovations.com/our-method/founding-practices"" rel=""nofollow"">http://www.menloinnovations.com/our-method/founding-practice...</a>",
