chunk_id,year,heading,text,label
7a0adde9cadb83df,2016,"Europe, Middle East & Africa",Medical insurance to keep you and your family healthy Competitive pension plans to help you plan for the future Life assurance and survivor support to give you peace of mind Generous vacation days to give you time away when you need it Transport support for a stress-free commute,
e8b09f6076815a29,2010,Julie Zhuo,"Within the first week, I had made a few check-ins to fix bugs. A week after that, I started working on a photo project, where I was the sole designer on a three-person team. This was pretty exciting to me since interns at many companies may end up on less important projects with a lot of hand-holding from full-time employees. More...",
20882db262f45340,2009,"Small Team, Big Impact: The People Behind Photos","At Facebook, it’s common for small teams of three or four people to work together in creating products that are used by millions of people around the world. Watch how the team behind Facebook’s Photos application helped it become the most popular of its kind on the Internet.",
2b999922638902d7,2018,In the News,"Proud to be the #1 Best Place to Work on the Glassdoor Employees’ Choice awards! Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com or you may call us at +1 650-308-7837.",
68c9f727972359fe,2018,Be yourself,"Be unique. Be authentic. However you prefer to say it, we really mean it. Our culture embraces people’s diverse perspectives and creates a positive environment where everyone belongs.",
459643115ad16815,2016,Be yourself,"Facebook Careers Page Get updates about our people, culture, events and more. Stay connected with us through the Facebook Careers Page. Facebook’s Values We don’t have rules, we have values that guide the way we work and the decisions we make. View Facebook's 5 Core Values. In the News Read Fast Company’s feature chronicling Mark Zuckerberg's bold plan for the future of Facebook. Learn about the innovations our teams are pioneering.",
253896db7e919b81,2011,"New Grads, Masters & PhDs","Ready to dive in, get to work, and have an immediate impact? We need dynamic people that get excited by big questions and unsolved problems.",
11b19c01295a23c5,2017,Facebook Clonee Data Center Ireland,"The Clonee data center will be Facebook's first in Ireland and follows Luleå, in Sweden, as our second in Europe. The facility will be part of the infrastructure that enables billions of people to connect with the people and things they care about on Facebook, Messenger, Instagram and more.",
35c6716c1a9c1dea,2020,,"Students & Grads Students & Grads Jumpstart your career – and do important work. Facebook University An internship program for students from underrepresented communities. Facebook Life Culture Move Fast. Be Bold. Be Yourself. Diversity Diversity is a must-have for Facebook, not an option. Veterans Veterans play a key role in helping us achieve our mission. Leadership A Place to Empower, Innovate, and Grow. How We Hire Learn about our hiring process and what to expect. Benefits We make sure you have the resources and care for you to thrive. Frequently Asked Questions You have questions? We have answers.",
2d99b1d97465ed1b,2016,Convenience,"We want to make your workspace as convenient as possible so you can focus on connecting the world. Every office is unique to meet your needs, save you time and help you focus.",
