chunk_id,year,heading,text,label
41d00fb635ede28b,2025,Better Together,"We do our best to make sure you and your loved ones have everything you need to be happy and healthy, on your own terms",benefits_perks
eb6e67ad8f4bd240,2024,Security - PSA Risk Management Services Inc.,Environmental Health and Safety Specialist - 6 month fixed term contract,job_listing
d8d449f2f20ad085,2019,Ready to join Team Snap?,"Snap's EEO Statement At Snap, we believe that having a team of diverse backgrounds and voices working together will enable us to create innovative products that improve the way people live and communicate. Snap is proud to be an equal opportunity employer, and committed to providing employment opportunities regardless of race, religious creed, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, sex, gender, gender identity, gender expression, pregnancy, childbirth and breastfeeding, age, sexual orientation, military or veteran status, or any other protected classification, in accordance with applicable federal, state, and local laws. EOE, including disability/vets. If you have a disability or special need that requires accommodation, please don’t be shy and contact us at accommodations-ext@snap.com . If you are unable to access any part of the Snap online application process, we want to hear from you. Please contact us at accommodations-ext@snap.com or 424-214-0409 . EEO is the Law Posters",legal_boilerplate
a1e753fdbe38829d,2022,"We solve problems through action, make high-quality decisions, and think with a strategic mindset.","We solve problems through action, make high-quality decisions, and think with a strategic mindset.",mission_brand
a77711f37d20dced,2026,Built in Award 2025,We’re honored to be included in Built In’s Best Places to Work list! Learn more about what it’s like to work at Snap.,navigation_junk
afd74b83fea6b178,2026,,"You’ll be assessed on ML theory and core machine learning models, concepts, techniques and applications. Be prepared to discuss supervised and unsupervised learning, recommendation systems, ranking, model evaluation metrics, and optimization techniques. Evaluates your ability to design and apply machine learning solutions to real-world problems. You may be asked to walk through the end-to-end process of selecting models, feature engineering, and evaluating performance. At times this can test your ability to problem solve in an ambiguous environment. The focus will be on designing scalable and robust ML systems that can handle large-scale data and production environments. Expect to discuss the infrastructure and trade offs in architecture, model deployment strategies and system monitoring.",job_listing
4a8eb15e7d70bc9e,2020,Lady Chillahs,"Lady Chillahs supports, empowers, and advances women at Snap through workshops, outreach to women in need, and bringing the Snap family together to explore issues facing women today.",benefits_perks
92021bce456de0c9,2026,,"As a Machine Learning Engineer on the Platform Engineering team you’ll build models that provide timely, accurate, high quality and actionable data for decision making that forms the backbone of Snap's external reporting, experimentation, and ML/Ranking. Snap’s AI platform (aka Bento) powers many large scale ranking, recommendation, and Gen AI use cases. Over the past year, our scale of operations increased by 4-10X. You’ll develop embeddings that are consumed by downstream modeling teams. This team is mission critical to scaling and diversifying Snaps ML model offerings. We want Snapchat to be a safe and positive experience for everyone who uses our platform or products. For this reason, we created rules and policies that explain the rights and responsibilities of all members of our community. Our Generative AI team is at the forefront of innovation, shaping the future of augmented reality (AR) through SnapAR, which includes Lens Studio, Lens Engine, and Lens Cloud. Our engineers build real-time advanced AI models and machine learning models for dynamic transformations, such as realistic filters, object recognition, and scene understanding, ensuring seamless AR interactions for products like ML Lenses and Dreams. Lens Studio 5.0 stands out as the leading developer platform for creating cutting-edge Lenses that blend generative AI with traditional computer vision techniques. Generative AI empowers creators to design engaging lenses effortlessly without requiring expertise in 3D modeling, animation or coding. Build AI-driven tools like text-to-3D generation Deliver generative AI and computer vision powered features Our interview process covers engineering, foundational, and applied ML. Expect to solve algorithmic problems that test your proficiency in data structures, algorithms, and problem-solving skills. Focus on your ability to write clean, efficient, and well-documented code.",job_listing
1aedf96767a410ae,2020,Who We Are,"At Snap, we believe that reinventing the camera represents our greatest opportunity to improve the way people live and communicate. We contribute to human progress by empowering people to express themselves, live in the moment, learn about the world, and have fun together.",mission_brand
ac8faa43b1db7a88,2023,Mind,"Generous time off and leave programs Emotional and mental health support programs and apps Speaker series, classes, and subscriptions to educational programs Social gatherings, team outings, and volunteering programs",benefits_perks
