chunk_id,year,heading,text,label
60c08aef31bb942e,2025,Highlights of partner investments include:,"Vacation Accrual: With every cup, with every conversation, with every community – Starbucks nurtures the limitless possibilities of human connection. Starting this February, hourly partners will accrue paid vacation time sooner, beginning just 90-days after hire, allowing them to engage in more meaningful connections with family and friends outside of work sooner than ever before. Competitive Pay: Sustained investment in retail partner pay remains a priority. Starbucks moved the wage floor for all U.S. retail hourly partners to $15 per hour in 2022 and has continued to add incremental increases, while recognizing and rewarding tenure. Starting with competitive pay — Starbucks provides U.S. hourly retail partners an average wage of nearly $17.50 per hour, a barista wage range between $15 and $24 per hour and a total compensation, with benefits, of approximately $27 per hour. Effective January 1, eligible U.S. retail hourly partners will see an incremental pay increase come to life, with at least a 3% increase and differentiated pay for eligible tenured partners. Eligible partners with 2-5 years of service will get at least 4% and those with 5 or more years of service will get at least 5%. Introduction of First-Ever North America Barista Championship: Starbucks partners take pride in their craft and have fun while doing it. They celebrate each other and their wins. With the long-awaited, first-ever North America Barista Championship kicking off this February, Starbucks partners will have the opportunity to showcase the unique role they play in bringing the Starbucks experience to life for customers each day, demonstrating their commitment to connection, craft, and community. This program will be open to eligible baristas and shift supervisors in participating U.S. and Canada stores as well as eligible Siren Retail roles.",
49b738c40f6368f1,2022,,"<p class=""is-style-default""><strong><em>Story by Michael Ko</em></strong></p> <p class=""is-style-default"">When Andi and Karen held hands and walked together in the 2016 Seattle Pride Parade, it was significant, and not just because it was Andi’s first march and they were coming out publicly as a couple in front of their friends and co-workers.</p> <p class=""is-style-default"">The moment led to a marriage, and also represented a milestone on the paths they’ve each been on to truly feel seen and understood – for Andi, finding the right words to describe who she truly is inside, and for Karen, finding pride in her identity.</p> <p class=""is-style-default"">“People want to feel heard and seen, they want to love who they love without judgment, and they want to live their true and authentic selves,” says Andi, a Starbucks supervisor on the partner data team. “Pride to me is the ability to break free from what I grew up with and have the family and life that I have always wanted.</p> <p class=""is-style-default"">“All of us are humans and it is a beautiful thing that everyone can be who they are to the core of their being, and to celebrate that.”</p> <figure class=""wp-block-image size-large""> <img loading=""lazy"" width=""1024"" height=""683"" src=""https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_AndiKaren-Story-1024x683.jpg"" alt=""Andi and Karen in their kitchen making coffee "" class=""wp-image-129444"" srcset=""https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_AndiKaren-Story-1024x683.jpg 1024w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_AndiKaren-Story-300x200.jpg 300w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_AndiKaren-Story-768x512.jpg 768w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_AndiKaren-Story.jpg 1080w"" sizes=""(max-width: 1024px) 100vw, 1024px"" /> </figure> <p class=""is-style-default"">For Karen, a Starbucks global supply chain project manager, that march was her 20<sup>th</sup>. But while many of those events were fun, until then, “I’d never felt the same sense of pride – holding my girlfriend’s hand in a place where we would not be stared at or judged, and truly letting go and celebrating together.”</p> <!--more--> <p class=""is-style-default"">Pride month is a celebration of the LGBTQ+ community – social visibility and self-acceptance, advancements in legal rights such as same-sex marriage, a commemoration of the important 1969 Stonewall Riots in New York City. What better way to celebrate than with a love story?</p> <p class=""is-style-default"">Andi and Karen met at a Starbucks in Washington state and started dating about a year later. They both worked in the stores – Karen was a store manager at two different locations – before transitioning into corporate roles. They live in Arizona, having relocated recently in hopes the warmer weather will help with Andi’s fibromyalgia.</p> <p class=""is-style-default"">Their romance was a whirlwind. One spring night, they kissed on the dance floor of a Seattle neighborhood club, a moment they both describe as “fireworks.” That summer was the Pride parade. The next January, in 2017, they were married.</p> <p class=""is-style-default"">Since Andi was little, she’s known she likes girls. In middle school, she came out as bisexual because it felt safer, but a family member told her it was “just a phase” and that “you like boys.” As an adult, even after she started dating Karen, calling herself gay or lesbian didn’t fit what she felt inside.&nbsp;</p> <p class=""is-style-default"">“The fluidity of the human identity is a sliding scale and I now understand that the best descriptor for me is queer, knowing that inside I have both masculine and feminine feelings,” she says. “I don’t have to be confined to what society has defined as gay or lesbian, I can simply be who I am without the added pressure of gendered descriptors.</p> <p class=""is-style-default"">“I have people in my life that tell me they just don’t understand why they are expected to ask people what their pronouns are, or why people want to make their identities so complex by using words such as queer. But the world isn’t binary – boy/girl, straight/gay, he/she. It is much more complex than that which is what makes our world such a beautiful place.”</p> <p class=""is-style-default"">Karen grew up attending religious school. She remembers going to her first Pride festival – alone – when she was 15 years old. She snuck out of the house without telling anyone because she hadn’t come out yet. When she did, her senior year of high school, it wasn’t on her terms; she was “outed” by someone else.</p> <p class=""is-style-default"">“By far one of the worst times of my life,” Karen remembers. “It felt incredibly lonely to have a number of close friends one day, to hardly any the next.”</p> <p class=""is-style-default"">A family member wanted her to go to conversion therapy. Teachers told her she needed counseling. She felt judged and fell into depression.</p> <p class=""is-style-default"">For Karen, kissing Andi “opened my eyes and got me thinking about what a happy, healthy relationship could be like… it was an epiphany.”</p> <p class=""is-style-default"">As their relationship grew, they found they were both motivated, driven and ambitious. They helped each other advance professionally and encouraged each other to finish school, which they both did recently through the <a href=""https://starbucks.asu.edu/"">Starbucks College Achievement Plan</a>.</p> <p class=""is-style-default"">Their wedding took place in Nevada, a small ceremony officiated by their good friend Ben, a Starbucks store manager in Seattle. Afterwards, they all walked down the Strip, still dressed up. Dinner was atop the replica Eiffel Tower restaurant at the Paris Las Vegas, with a view of the famous fountain at the Bellagio. Karen had a delicious steak (she’s now a vegetarian), and Andi still thinks about the butter. They danced to “Say You Won’t Let Go” by James Arthur.</p> <p class=""is-style-default"">“Pride means being proud of who you are, no matter what,” Karen says. “There’s been a 100 percent shift in the right direction, in the last 10 years or so. I just feel like we’ve come so far as a society. It feels good to be celebrating and not be afraid.”</p> <div class=""sb-card-grid post-grid is-style-3-col ""> <article class=""sb-card-grid-item post-grid-item post-grid-item-sm-50 post-grid-item-md-33"" itemscope itemtype=""http://schema.org/BlogPosting""> <a class=""sb-card-grid-item__link"" itemprop=""url"" aria-label=""Starbucks Celebrates Pride Month"" href=""https://stories.starbucks.com/stories/pride-heritage-month/""> <figure class=""sb-card-grid-item__image-fit sb-image-fit"" itemprop=""image"" itemscope="""" itemtype=""http://schema.org/ImageObject""> <div class=""sb-card-grid-item__image-contain sb-image-fit__image-contain"" aria-label=""""> <img width=""768"" height=""373"" src=""https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride-FeatureHorizontal-768x373.jpg"" class=""sb-card-grid-item__image sb-image-fit__image wp-post-image"" alt="""" loading=""lazy"" srcset=""https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride-FeatureHorizontal-768x373.jpg 768w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride-FeatureHorizontal-300x146.jpg 300w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride-FeatureHorizontal-1024x498.jpg 1024w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride-FeatureHorizontal.jpg 1440w"" sizes=""(max-width: 768px) 100vw, 768px"" /> </div> </figure> <div class=""sb-card-grid-item__title-contain""> <div class=""sb-card-grid-item__meta-cat sb-card-grid-item__meta-cat--narrow""> </div> <h2 class=""sb-card-grid-item__title"">Starbucks Celebrates Pride Month</h2> <p class=""sb-post-grid-item__published""> <time itemProp=""datePublished"" content=""2021-05-28T10:36:06-07:00""> May 28, 2021 </time> </p> </div> </a> </article> <article class=""sb-card-grid-item post-grid-item post-grid-item-sm-50 post-grid-item-md-33"" itemscope itemtype=""http://schema.org/BlogPosting""> <a class=""sb-card-grid-item__link"" itemprop=""url"" aria-label=""Celebrating PRIDE: Meet Angel (she/her), who knows the power of ‘living out loud’"" href=""https://stories.starbucks.com/stories/2021/celebrating-pride-meet-angel-she-her-who-knows-the-power-of-living-out-loud/""> <figure class=""sb-card-grid-item__image-fit sb-image-fit"" itemprop=""image"" itemscope="""" itemtype=""http://schema.org/ImageObject""> <div class=""sb-card-grid-item__image-contain sb-image-fit__image-contain"" aria-label=""""> <img width=""768"" height=""373"" src=""https://stories.starbucks.com/uploads/2021/05/SBX20210621-PrideAngel-FeatureHorizontal-768x373.jpg"" class=""sb-card-grid-item__image sb-image-fit__image wp-post-image"" alt="""" loading=""lazy"" srcset=""https://stories.starbucks.com/uploads/2021/05/SBX20210621-PrideAngel-FeatureHorizontal-768x373.jpg 768w, https://stories.starbucks.com/uploads/2021/05/SBX20210621-PrideAngel-FeatureHorizontal-300x146.jpg 300w, https://stories.starbucks.com/uploads/2021/05/SBX20210621-PrideAngel-FeatureHorizontal-1024x498.jpg 1024w, https://stories.starbucks.com/uploads/2021/05/SBX20210621-PrideAngel-FeatureHorizontal.jpg 1440w"" sizes=""(max-width: 768px) 100vw, 768px"" /> </div> </figure> <div class=""sb-card-grid-item__title-contain""> <div class=""sb-card-grid-item__meta-cat sb-card-grid-item__meta-cat--narrow""> </div> <h2 class=""sb-card-grid-item__title"">Celebrating PRIDE: Meet Angel (she/her), who knows the power of ‘living out loud’</h2> <p class=""sb-post-grid-item__published""> <time itemProp=""datePublished"" content=""2021-05-28T11:04:44-07:00""> May 28, 2021 </time> </p> </div> </a> </article> <article class=""sb-card-grid-item post-grid-item post-grid-item-sm-50 post-grid-item-md-33"" itemscope itemtype=""http://schema.org/BlogPosting""> <a class=""sb-card-grid-item__link"" itemprop=""url"" aria-label=""Celebrating PRIDE: Meet Danny (he/him), whose Pride family is helping him lean into all his identities"" href=""https://stories.starbucks.com/stories/2021/celebrating-pride-meet-danny-whose-pride-family-is-helping-him-lean-into-all-his-identities/""> <figure class=""sb-card-grid-item__image-fit sb-image-fit"" itemprop=""image"" itemscope="""" itemtype=""http://schema.org/ImageObject""> <div class=""sb-card-grid-item__image-contain sb-image-fit__image-contain"" aria-label=""""> <img width=""768"" height=""373"" src=""https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_Danny-FeatureHorizontal-768x373.jpg"" class=""sb-card-grid-item__image sb-image-fit__image wp-post-image"" alt="""" loading=""lazy"" srcset=""https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_Danny-FeatureHorizontal-768x373.jpg 768w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_Danny-FeatureHorizontal-300x146.jpg 300w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_Danny-FeatureHorizontal-1024x498.jpg 1024w, https://stories.starbucks.com/uploads/2021/05/SBX20210526-Pride_Danny-FeatureHorizontal.jpg 1440w"" sizes=""(max-width: 768px) 100vw, 768px"" /> </div> </figure> <div class=""sb-card-grid-item__title-contain""> <div class=""sb-card-grid-item__meta-cat sb-card-grid-item__meta-cat--narrow""> </div> <h2 class=""sb-card-grid-item__title"">Celebrating PRIDE: Meet Danny (he/him), whose Pride family is helping him lean into all his identities</h2> <p class=""sb-post-grid-item__published""> <time itemProp=""datePublished"" content=""2021-05-28T10:41:00-07:00""> May 28, 2021 </time> </p> </div> </a> </article> </div> <p class=""is-style-default""></p>",
849cfb6b12012a70,2011,Finance Partners,"In Finance, you'll have the opportunity to work with a portfolio including our retail operations, consumer products and international businesses. For an enhanced experience install flash The Finance team is a key strategic partner in guiding Starbucks to continued growth and profitability. There are more than 500 professionals working in the finance group at Starbucks, in fields such as accounting, business unit finance, corporate development, finance services, internal audit, investor relations, tax and customs, treasury and risk management, and safety and security. Here are some of the people you’ll meet. Helena C. started with Starbucks as a barista more than 14 years ago. As she met other partners, she was so impressed how they “are so passionate about the company” that she chose to make her career here. She now serves as finance director. She can often be found drinking a tall soy, light-foam Tazo® Chai Tea Latte. Financial reporting manager and new partner Josh G. says he came here because, “I was looking for an opportunity to expand my experience in a company that provided multiple avenues for growth while balancing the demands of my personal life” – including his son. His favorite beverage is a tall Caffè Americano . Melanie C., our director of capital markets, came to Starbucks because she wanted to work at a place that values and builds community. She also values her work in peer development and mentoring initiatives. Her drink is a tall Skinny Vanilla Latte.",
db07f229609ff063,2024,"Committed to Transparency—People, Planet, Coffee","Our commitment to being a responsible business Social Responsibility Global Human Rights Statement Standards of Business Conduct Corporate Political Contributions and Expenditures Policy Global Anti-Bribery Standard Corporate Governance Menu Labeling Position Our Workplace Commitment to Partners Principles for Upholding the Third Place Equal Employment Opportunity Occupational Health and Safety - U.S. and Canada Health Care Commitment to Environmental, Social and Governance Disclosures Our Respectful Request Commitment to Access and Disability Inclusion Ethical Sourcing Supplier Code of Conduct Coffee and Farmer Equity (C.A.F.E.) Practices Starbucks Social Responsibility Standards for Manufactured Goods and Services Supplier Diversity Standard - U.S. Animal Welfare-Friendly Practices Deforestation Sustainable Palm Oil California Transparency in Supply Chains Act Conflict Minerals Policy Statement Zero Tolerance for Child Labor Zero Tolerance Policy on Prison Labor We are people positive, investing in humanity and the well-being of everyone we connect with 2021 Civil Rights Assessment 2020 Civil Rights Assessment 2019 Civil Rights Assessment Workforce Diversity Pay Equity Best Practices Human Rights Campaign Corporate Equality Index (* indicates years with 100/100 score): 2002 , 2003 , 2004 , 2005 , 2006 , 2008 *, 2009 *, 2010 *, 2011 *, 2012 , 2013 , 2014 , 2015 *, 2016 *, 2017 *, 2018 *, 2019 *, 2020 *, 2021 *) Disability Equality Index (100/100): 2015 , 2016 , 2017 , and 2019",
63a61fd92003ca44,2017,To Be A Partner,"Being a Starbucks partner means having the opportunity to be something more than an employee (#tobeapartner). Gigantic possibilities lie ahead—to grow as a person, in your career and in your community. To live the Starbucks mission and to be a leader. It’s the opportunity to become your personal best. To be connected to something bigger. To be meaningful to the world. And to be recognized for all of it. It’s all here for you.",
1e4f99aca7ad7363,2018,,"Starbucks Mobile Starbucks® App for iPhone® Starbucks® App for Android™ Mobile Order & Pay Delivery Starbucks Music & Spotify Online Community Submit your ideas Social Media Terms and Conditions Store Design Learn More Submit your ideas Coffeehouse FAQs Store Locator Looking for Something Else? Starbucks Drinks About Us Coffee Order ahead... ...grab a coffee and snack, then enjoy your day—all by using our Starbucks® App for iPhone® and Android™. Details » Community Refugee Hiring Opportunity for Youth Starbucks Foundation Community Service Veterans and Military Support Diversity and Inclusion Farming Communities Our Hometown (STARBUCKS) RED Foodshare Ethical Sourcing Supplier Diversity Program Coffee Tea Cocoa Manufactured Goods Environment Greener Stores Greener Cup Greener Energy Climate Change Global Responsibility Report Goals & Progress Learn More College Plan Conflict Minerals Disclosure Relationships Policies CA Supply Chains Act Community Investment FAQs Looking for Starbucks Information? About Us Coffee Small Changes Add Up to a Big Impact See what happens when veterans, military spouses and civilians work together every day. Watch » Starbucks Rewards™ Join Starbucks Rewards View Your Stars Current Members Rewards Program Terms of Use Enter a Star Code More Rewards Earn Stars everywhere you shop with the Starbucks Rewards Visa Card. Learn More » Originals Upstanders Veterans Starbucks Channel Women in Coffee About Starbucks Channel The Starbucks Channel A place for inspiring, original stories about community, innovation and all things coffee. Learn More » Buy a Card Give a Gift by Email Give a Gift by Mail Gift Cards for Businesses Check Gift Card Balance eGift Support Manage Your Card Check Balance Reload Your Card Transfer Funds View Transactions Report Lost/Stolen Card Terms and Conditions Make their day Pick up a gift card (or two) while picking up your coffee. You’ll find thoughtful sentiments for any occasion. Send an eGift »",
77122b5fc8052109,2011,"Community Service, Seattle","You will receive an email with the event details. Thank you for making a difference. Service projects: 9:30 a.m. - 1 p.m. Time: 09:00 a.m. - 03:00 p.m. Food/Beverage: Morning pastries, snacks and lunch, as well as coffee and water will be provided for registrants.",
3ca3c1e757f42436,2023,,"“Solutions City is an example of the type of tangible, public-private models we are building to create pathways to opportunity for young people,” said Blair Taylor, executive vice president and chief community officer for Starbucks, who hosted the town hall with Mayor Coleman. “This is ultimately about coming together to provide the skills, training and job opportunities young people need to participate in the 21st century economy.”",
01e288126974bbdc,2021,Community,"Across the globe, we serve to strengthen each community we are part of by being the neighbor every neighborhood wants.",
f052b6f805284743,2019,Access to Clean Water,"Ethos Water began as a social venture startup with the goal of providing people in developing countries with access to clean water. For every bottle of Ethos® water sold in the United States, 5 cents is directed to the Ethos© Water Fund to help finance water programs around the world. Since 2005 $13.8 million has been granted through the Ethos Water Fund, benefitting more than 500,000 people around the world.",
