chunk_id,year,heading,text,label
c2d53f0d173bdfce,2019,Training and mentorship,"When you start at Stripe, you go through two weeks of in-depth onboarding. We will pair you with experienced team members to show you the ropes. And then you learn by doing. It is common for Stripes to work on things outside their domain of expertise , so we encourage people to regularly attend hands-on classes led by internal and external experts on everything from Learning to Code to Thinking Like a Lawyer.",benefits_perks
150f31f97d686eeb,2017,Who you’ll work with,"At Stripe, we encourage you to write and speak about your work and share your knowledge! Also, we think it’s important to get an idea of who you’ll be working with. Here are a few Stripe infrastructure engineers giving talks! (If you don’t like to give talks, that’s fine – many very well-respected Stripe engineers don’t.) Cory Watson, “Creating a culture of observability” Julia Evans, “A swiss army knife of debugging tools” Andreas Fuchs “I’m not a number, I’m a free file descriptor!!” (this talk isn’t really about “work” so much as “interesting systems things”, but it’s a delightfully Andreas talk)",employee_story
282f3fccb9dfef8f,2026,Who you are,"We're looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement.",job_listing
97454684eeaeb61f,2024,Help us build economic infrastructure for the internet,"We embrace diverse perspectives, ideas, and backgrounds at Stripe. We’re committed to providing equal employment opportunities for all applicants and employees. Stripe doesn’t discriminate on the basis of any protected characteristic, including race, color, ancestry, national origin, religion (including religious dress), creed, age, disability (mental and physical), sex, gender (including pregnancy, childbirth, breastfeeding, or related medical conditions), sexual orientation, gender identity, gender expression, medical condition, genetic information, family care or medical leave status, marital status, domestic partner status, military and veteran status (including military spouse status), or any other characteristic protected by US federal, state or local laws, or the laws of the country or jurisdiction where you work. This commitment is also reflected in our candidate experience. We will work with your needs and provide any assistance we can. If you are a nursing mother or have individual needs related to a disability, please reach out to accommodations@stripe.com . If you’re having trouble submitting an application or experiencing other technical difficulties with this site, please reach out to candidatefeedback-applications@stripe.com .",legal_boilerplate
791f62e8f6ad1c7e,2021,Where we need to be,"To make geography on the internet less relevant, we need to be working around the world. We can’t build what our customers need without sharing cabs with them in Singapore or buying food together in the darshinis of Bangalore. We need to speak to them in a language they understand—literally and metaphorically. (Stripes across our offices speak over thirty languages. One could reasonably hear five just walking to lunch.) All of this is imperative as we advance the support of local payments used for every experience. Join Micaela on the Design team",mission_brand
7607836880d16c53,2019,,"Payments A complete payments platform engineered for growth. Billing Build and scale your recurring business model. Connect Everything platforms need to get sellers paid. Sigma Your business data at your fingertips. Atlas Turn your idea into a startup. Radar Fight fraud with machine learning. Issuing Create, distribute, and manage cards. Terminal Build your perfect point of sale. Partners: Find apps, extensions, and experts.",job_listing
b300db4055f9ba3c,2012,Programming Challenges,Including a solution to one or more of the programming challenges is an effective way of impressing us.,process_logistics
dec161741d619b59,2025,Operating principles,"We have an opinionated set of principles, and we’re happy to be warts-and-all honest about them.",mission_brand
c135d3830883e894,2022,We want to talk to you,You came to this page for a reason. Now we hope you’ll take the next step and come talk to us about whether one of our open roles is a good fit. We’re hiring talented people like you all the time. We hope you’re next.,process_logistics
091bc5491c8587d3,2023,We know we need to know more,"Every project exposes us to challenges that are beyond our current capabilities. This motivates us to bring in people like you—people who have knowledge and experiences we don’t, and who can quickly bring their talents to bear on hard problems. Stripe is not a pay-your-dues culture; we will train you quickly and then give you substantial responsibility. We often have surprisingly small teams accomplish strikingly important work. The pace of change and velocity of the product force you to pick up new skills, experiment with new tactics, and walk in a variety of users’ shoes.",mission_brand
