chunk_id,year,heading,text,label
4838ce78c1df2a4f,2017,How we do our work,"We innovate, experiment, and move at a fast pace. We’re a learning organization with a growth mindset, and we’re always looking for ways to improve our product and ourselves.",mission_brand
b89b603d5b434115,2016,Openings,"Data Science & Analytics 18 Open Roles Arrow down icon Data Scientist San Francisco, CA San Francisco, CA Data Scientist, Business Insights San Francisco, CA Data Science Guru's - Help us grow our business! San Francisco, CA Data Scientist (Content Insights) San Francisco, CA San Francisco, CA Data Scientist - Growth Markets, APAC (Singapore) Singapore Singapore Statistician/Data Scientist: Product Analytics San Francisco, CA Data Ninjas who love the tech & the Digital Ad Space San Francisco, CA Software Engineer (Machine Learning) - TellApart, Data Products San Francisco, CA San Francisco, CA Engineering Manager, Ads - Relevance/Machine Learning San Francisco, CA San Francisco, CA Senior Business Analyst - Trust Operations San Francisco, CA Are you passionate about using data to drive big decisions? Come join the Trust Operations team! San Francisco, CA Software Engineer (Machine Learning) - Consumer Product San Francisco, CA San Francisco, CA Data Scientist, Product Data Science San Francisco, CA San Francisco, CA Data Scientist - Exchange San Francisco, CA San Francisco, CA Data Scientist (Content Insights) Boulder, CO Boulder, CO Software Engineer (Deep Learning) New York, NY New York, NY Data Scientist (Machine Learning) New York, NY New York, NY Software Engineer, Computer Graphics - Deep Learning San Francisco, CA San Francisco, CA Software Engineer, Computer Vision - Deep Learning San Francisco, CA San Francisco, CA Software Engineer - Machine Learning/Relevance (Seattle) Seattle, WA Seattle, WA Senior Associate, Business Insights San Francisco, CA Data driven decision making San Francisco, CA",navigation_junk
7edcaa2d25eaa888,2019,TECHNOLOchicas,"@TwitterAlas empowers Latino employees to make an impact at Twitter and beyond, and the group recently teamed up with TECHNOLOchicas to focus on supporting a new generation of Latinas working in tech.",mission_brand
0a7da5dc5acec2c4,2019,"Open platform, open workplace","Healthy conversation is open and honest. At Twitter everyone speaks their minds, even when it’s an unpopular opinion. That’s because we respect and trust each other enough to make space for disagreement and debate. We bring a candid approach to our work and strive to have challenging conversations that make us better together. This starts with Twitter leadership, who ask tough questions and seek multiple perspectives.",mission_brand
5dd40dc90fd7f65f,2018,@SecurityGeorge,"Professional, kind and loving person who loves to interact with people. Peace, love and happiness to all.",navigation_junk
564108a96f8ae2b7,2017,@harikondabolu,A comic from Queens currently living in Brooklyn. New album Mainstream American Comic out now. Order here: https://t.co/j6a1b5qbRs,navigation_junk
42486f02e8e46aaa,2017,Twitter is where inclusion lives,"People come to Twitter to freely express themselves, and we’ve seen this through individual Tweets and collective movements like #BlackLivesMatter , #ILookLikeAnEngineer , and #LoveWins . Just as inclusion lives on our platform, we’re striving to ensure Twitter is reflective of our users, and that our workplace and the decisions we make about it are equally inclusive. We want our different perspectives to flourish — they make us stronger and help make product decisions that will best serve our users around the world.",mission_brand
cce80eb2112ccc7c,2016,@SecurityGeorge,"Professional, kind and loving person who loves to interact with people. Peace, love and happiness to all.",navigation_junk
0be6653ececfc6bc,2021,Work the whole world can feel,"Twitter runs on great ideas and the expertise to execute them. That’s where you come in. Today, 55% of the world’s internet-havers are on other platforms, while just 8% use Twitter. And that means opportunity. Your skills, drive, and insight are what will help us serve the public conversation and get more people to use their voices, be heard, and move forward together.",mission_brand
0373844ccbdf6367,2016,Where it all began,"Free speech. Creativity. Changing the world. These are ways to describe both Twitter and the history of San Francisco. Born on South Park Street in SoMa and now residing in the former SFMart building at 9th and Market, we have an incredible work space located in the heart of the City by the Bay. @TwitterSF is our global headquarters, so don't be surprised if you see celebrities, civil rights activists, musicians, politicians, and authors stopping by to talk about their work, share their Twitter stories, or Tweet a selfie.",mission_brand
ccf0b4412fd94225,2016,Openings,"Vine 10 Open Roles Arrow down icon Android Engineer - Vine New York, NY New York, NY Web Engineer-Vine New York, NY #lovewhereyouwork New York, NY Software Engineer in Test-Vine New York, NY New York, NY Product Manager- Vine New York, NY New York, NY Prototype Designer- Vine New York, NY New York, NY Product Designer- Vine New York, NY New York, NY Backend Engineering Manager- Vine New York, NY New York, NY Site Reliability Engineer- Vine New York, NY New York, NY Software Engineer, Recommendations & Machine Learning- Vine New York, NY New York, NY Sr. Software Engineer, Backend - Vine (New York) New York, NY New York, NY",navigation_junk
2a5526f9daf5f3ee,2016,Step 1,"After you apply, a recruiter may reach out to you for an introductory call.",process_logistics
5ebee9511b8757fc,2018,@ClintSmithIII,"Writer. Teacher. PhD Candidate @Harvard studying incarceration, education, & inequality. Author of Counting Descent.",navigation_junk
458f0daa9f7a5ac5,2019,(so you can be too),"As a workplace, Twitter is challenging, but it’s also liberating. Because you’re trusted to do your best work without missing out on other important parts of your life. And you can work where you're at your most creative and productive, wherever in the world that may be. Flexibility makes all things possible. So what kinds of important things do Tweeps do while they also work at Twitter? They host podcasts , they teach people to skate , they make one-of-a-kind art garments , they DJ , they bake unbelievably delicious goodies , they organize music conferences , they have adorable kids , they take photos , they cover fútbol , and they run and jump . This page and certain other Twitter sites place and read third party cookies on your browser that are used for non-essential purposes including targeting of ads. Through these cookies, Google , LinkedIn and Glassdoor collect personal data about you for their own purposes. Learn more .",mission_brand
9f9e95132f616302,2022,86.1%,"*Based on voluntary employee self-identification. Includes regular, full-time employees who completed our self-identification survey as of effective date. Percentages may not sum to 100 due to rounding and instances where Tweeps decline to disclose. Leadership includes directors and above. Technical is our functional designation and omits G&A and sales designations. “From underrepresented populations” for now includes Black, Latinx, Multiracial, and Indigenous populations. “Indigenous” includes Native American, Native Alaskan, and Native Hawaiian/Pacific Islander populations. Data effective as of 12/31/21. **Based on 72% of eligible Tweeps who participated in our new self identification program as of November 5, 2021. “Military vets” include those who identified or had an immediate family member who identified as a veteran. “Tweeps with disabilities” include those who identified as a person with a disability. “LGBTQIA+ Tweeps” include those who identified as lesbian, gay, bisexual, transgender, asexual, pansexual, non-binary, gender queer, gender fluid, gender non-conforming, with a gender identity not listed, or with a sexual orientation other than heterosexual that was not listed.",mission_brand
2506b5e5c2fa964d,2016,We're better together,"Our differences makes us stronger; inclusion makes them matter. That’s why building a strong culture is important to us — once you join the flock, we have many ways for you to get involved and bring your “whole self” to your role. Our employee groups foster supportive environments for employees of various backgrounds, and have also led the charge on incredible programming and initiatives, both internal and external. For example, @TwitterOpen helped us achieve an HRC Corporate Equality Index perfect score and our women’s groups developed our global 2016 #SheInspiresMe campaign around International Women’s Day . Through our #HeForShe team efforts, Twitter became the first corporate impact champion in tech for the UN’s global gender equality initiative. Thanks to the work of @Blackbirds , BuzzFeed named our custom fist Twitter emoji the best part of Black History Month, and our parents group helped expand our policy so all new parents can get up to 20 weeks of paid parental leave. Our technical women team up with programs like Girls Who Code to teach a new generation of curious and passionate thinkers. Learn more about our committment to inclusion and diversity.",mission_brand
1714c4b5755777bc,2018,@mindykaling,"i love gifs. The Mindy Project on @hulu. Champions on @nbc. I wrote two books, Is Everyone Hanging Out Without Me? and Why Not Me?. instagram: mindykaling",navigation_junk
c47b88a394c9a632,2021,"Pizza, whales, and being real","Twitter’s transparent culture means that if you ask a question, you’ll get the most truthful answer, even when that answer is “I don’t know.” It’s where trust comes from. No one knows that better than Biz, who thinks Twitter’s “fail whale” moments are just as meaningful as its successes. In the early days of Twitter, a stack of pizzas showed him how being transparent inspires more trust than showing a flawless façade.",mission_brand
339828fe559835aa,2018,@wkamaubell,"Stand-up Comic & host of @CNN's #UnitedShades of America. I tell jokes, but I'm not kidding. Also #Emmy WINNER!",navigation_junk
cc59cf8122da94ab,2021,is how we operate,"If you’re the first to raise your hand when a co-worker needs support, you’ve already mastered the art of #OneTeam. It’s how we can count on one another to help move projects across the finish line. And it’s why every win belongs to the entire team.",mission_brand
157ceabe4ddb9728,2019,@Blackbirds,Blackbirds is a group of Twitter employees who are members and allies of the African diaspora. Our mission is to create a more inclusive work environment and enrich communities outside of Twitter.,mission_brand
0f3c677583771199,2015,Have the time of your life.,"People who work at Twitter say the biggest draw is their colleagues. You’ll find a generous, friendly team that is passionate about Twitter and the world at large.",mission_brand
1ef57e7f22f41efc,2018,We're better together,"Our differences makes us stronger; inclusion makes them matter. That’s why building a strong culture is important to us — once you join the flock, we have many ways for you to get involved and bring your “whole self” to your role. Our employee groups foster supportive environments for employees of various backgrounds, and have also led the charge on incredible programming and initiatives, both internal and external. For example, @TwitterOpen helped us achieve an HRC Corporate Equality Index perfect score and our women’s groups developed our global 2016 #SheInspiresMe campaign around International Women’s Day . Through our #HeForShe team efforts, Twitter became the first corporate impact champion in tech for the UN’s global gender equality initiative. Thanks to the work of @Blackbirds , BuzzFeed named our custom fist Twitter emoji the best part of Black History Month, and our parents group helped expand our policy so all new parents can get up to 20 weeks of paid parental leave. Our technical women team up with programs like Girls Who Code to teach a new generation of curious and passionate thinkers. Learn more about our committment to inclusion and diversity.",mission_brand
661acbe2699159ce,2022,Our 2025 vision,Our vision for the future is clear. We used the start of a new decade to set new ambitious goals for a more diverse and inclusive future. Here’s how we're holding ourselves accountable:,mission_brand
46c6edc9615154cf,2020,Work the whole world can feel,"Twitter runs on great ideas and the expertise to execute them. That’s where you come in. Today, 55% of the world’s internet-havers are on other platforms, while just 8% use Twitter. And that means opportunity. Your skills, drive, and insight are what will help us serve the public conversation and get more people to use their voices, be heard, and move forward together.",mission_brand
5e33b8211201e0c7,2022,General,"Do you hire international students? Yes; you must have legal work authorization to work in the country where you perform your internship or position. Our Global Mobility team will work with eligible students to review options for work sponsorship for both full-time roles and internships. How can I learn more? Be sure to follow @TwitterU for the latest and greatest on all things Early Career. Our Early Career applications are global — read about our eligibility requirements at t.co/programs . Check out seasons one and two of our podcast dedicated to helping students land an internship or full-time role. You'll get inside info about careers in tech, and tips and tricks from our recruiting team and former interns.",process_logistics
138624ed820226a6,2017,@KarlTheFog,"All that is sunny does not glitter, not all those in the fog are lost.",navigation_junk
a8d1ddc55a9bde83,2017,Our EMEA headquarters,"@TwitterDublin is not only Twitter's biggest office outside of the US, but it also serves as our European, Middle East, and African headquarters. Our teams support the rest of Twitter's offices around EMEA and help drive Twitter's growth around the world. Almost every function at Twitter can be found working (and having fun) at our office in the heart of Dublin, with over 30 nationalities represented in our incredible space.",mission_brand
00292b6eadd5db5a,2021,@TwitterStripes,"Twitter Stripes is a group for veterans, service members and military families at Twitter. We host events to bring strength to the community inside and outside of Twitter.",mission_brand
58a565def209d885,2021,General,"Our global 2022 applications are now open. Find what program is best for you and apply above. Internship - You should be enrolled in a two to five year academic institution working on an undergrad, grad, or PhD degree. You must be eligible to work in the country where you would perform your internship. In the U.S., you must be at least 18 years old. Interns should also be able to complete the full duration of our internship programs. Full-time Positions - You should be enrolled in a two to five year academic institution working on an undergrad, grad, or PhD degree. You must be eligible to work in the country where you would perform your position. In the U.S., you must be at least 18 years old. Early Career - You should be a candidate with 2 years experience or less. You must be eligible to work in the country where you would perform your position. In the U.S., you must be at least 18 years old. What’s the hiring process for full-time roles and internship opportunities? Once your application is complete, our teams will review it. If a team is interested, we’ll reach out to begin the interview process. It goes like this: First round: via phone or video conference What does Twitter offer? Talk to your Twitter recruiter! Our offerings are market competitive for both full-time roles and internship opportunities. Your recruiter can fill you in on compensation and other benefits you may be eligible for. Eligible full-time candidates can receive relocation support, and eligible interns receive a housing and home office stipend. And of course, there is the unmatchable experience you’ll gain from working at Twitter.",process_logistics
126a8f2ce991fff7,2018,Our southernplayalistic outpost,"Atlanta. Hotlanta. The ATL. The big “A."" Whatever you call it, @TwitterATL has something for everyone. And our office is in the heart of it all. Located in Ponce City Market, we’re in the center of the thriving, revitalized intown community. Whether you’re a foodie, fitness nut, shopaholic, or enjoyer of green space, we have an amazing office filled with incredible people.",mission_brand
22c0710fcf3f5843,2016,How we collaborate,"Passion and personality matter. You’ll work with creative and curious people across the globe, and we want you to feel comfortable being yourself every day you're here.",mission_brand
4fced7cd250bb13c,2016,Work on important problems.,"As a global real-time service, the Twitter platform requires a broad range of technical skills, from mobile and infrastructure to analytics and machine learning. Engineering here is challenging and fast paced.",mission_brand
