chunk_id,year,heading,text,label
eab31fbdf307ed45,2015,Global Impact,Every role matters because anything and everything our employees work on affects the daily lives of people around the world.,mission_brand
5fab4011fc53bf2e,2013,Salle Yoo,"Salle ensures that Uber can rapidly expand its global presence and sustain long-term growth in existing markets. A graduate of Scripps College and Boston University School of Law, Salle was a partner at Davis Wright Tremaine LLP, where she represented leading energy, telecommunications and technology firms. She serves on several boards, including the Asian American Bar Association of the Greater Bay Area and the Museum Council for the Asian Art Museum. When not working, you can find her using Uber to get to the tennis court or home to her family in Noe Valley.",employee_story
cfa6bec02e586a7c,2018,Welcoming for everyone,We want to create a workplace that is inclusive and reflects the diversity of the cities we serve. Take a look at our latest diversity report.,mission_brand
400db13d4dee1f91,2018,Where we are,"We have made meaningful progress over the last year, but we still have a lot of work to do to both increase representation of and improve the experience for women and underrepresented populations, particularly in our tech functions. We continue to believe that transparency is the only means through which we can make substantive change, so here’s where we are:",mission_brand
49a7d7eb3c0603ab,2018,Engage leadership,"The numbers matter, but so does making sure that leadership drives our improvements. Every member of our executive leadership team has aligned around several diversity and inclusion priorities, and we’re building a robust set of metrics that will rank diversity and inclusion alongside other business priorities. Leaders have also committed to personally championing inclusive behavioral norms in everything they do.",mission_brand
e1b07b2a7d5c0471,2016,Global Impact,Every role matters because anything and everything our employees work on affects the daily lives of people around the world.,mission_brand
448f3a3a10496ce4,2015,The Company,"Uber is evolving the way the world moves. By seamlessly connecting riders to drivers through our apps, we make cities more accessible, opening up more possibilities for riders and more business for drivers. From our founding in 2009 to our launches in hundreds of cities today, Uber's rapidly expanding global presence continues to bring people and their cities closer.",mission_brand
1d43f60c58318bfe,2024,Customers who are blind or low-vision,"With iOS VoiceOver and Android TalkBack, the Uber Eats app makes it easier for customers who are blind or low-vision to order food from restaurants at the touch of a button. Check out how to use the Uber Eats app with these accessibility features.",mission_brand
eaba5b1e19371c9a,2015,Thuan Pham,"Thuan demonstrates daily that hard work can be really fun and that success is more achievable with a talented team that is highly aligned and cohesive. He’s scaling Engineering to address the challenges that arise with Uber’s rapid growth. Previously a VP of Engineering at VMWare, Westbridge and Doubleclick, Thuan has proven to be an inspirational leader who can deliver exceptional mission critical software and services. He holds a B.S. in Computer Science and Engineering and an M.S. in EE/CS from MIT. Beyond being a talented scholar, published author, amazing friend and father, he’s also an avid ping-pong and tennis player.",employee_story
242e92bd4c7d0d1c,2019,Who's driving Uber,"Transportation isn’t the only thing we’re changing through our technology. We’re building a culture within Uber that emphasizes doing the right thing, period, for riders, drivers, and employees. Find out more about the team that’s leading the way.",mission_brand
9e41795cbe7bf9ef,2013,Travis Kalanick,"Whether it’s founding the world’s first P2P search engine, or developing the premier enterprise content delivery system, Travis believes that every problem has a solution. You just have to be creative enough to find it. He’s guided the company from a niche market in San Francisco to its global presence today. Along the way, Travis has actively invested in and advised other passionate startup entrepreneurs. Somehow, he’s also managed to rack up the second highest Wii Tennis score in the world. Game, set, match.",employee_story
c8cfd33e3a3d2173,2013,Ryan Graves,"An active problem-solver and strategist, Ryan grew Uber’s operations team from a single employee to a global workforce. Previously, he focused on growth and business development for Foursquare and SocialDreamium. He also led enterprise resource planning and corporate restructuring at General Electric and CNA Insurance. When not scaling Uber’s operations, Ryan volunteers as a consultant for internet businesses and not-for-profit ventures. Ryan holds a B.S. in Economics from Miami University (Ohio). Being an avid surfer, he prefers wet suits to business suits.",employee_story
60659ec9e5226141,2015,Salle Yoo,"Salle ensures that Uber can rapidly expand its global presence and sustain long-term growth in existing markets. A graduate of Scripps College and Boston University School of Law, Salle was a partner at Davis Wright Tremaine LLP, where she represented leading energy, telecommunications and technology firms. She serves on several boards, including the Asian American Bar Association of the Greater Bay Area and the Museum Council for the Asian Art Museum. When not working, you can find her using Uber to get to the tennis court or home to her family in Noe Valley.",employee_story
4898caf94ebf0803,2018,Continued our work for towards LGBTQ+ equality,"We’re proud and excited that for the past three years, we’ve earned a top score of 100 on the Human Rights Campaign Foundation’s Corporate Equality Index , which deemed Uber one of the “Best Places to Work for LGBT Equality.” The Index is an annual survey taken by companies across industries that intends to help corporations understand and implement best practices internally that are inclusive of the LGBTQ+ community.",mission_brand
f4fb1a9ea487be82,2018,Develop our people,"It’s not sufficient to find the best people from all walks of life; once they arrive at Uber we need to support them and ensure they feel a sense of belonging. To that end, in Q2 we will launch new leadership programs for underrepresented groups and for women, we are doubling down on our support for employee resource groups, and we are continuing our diversity and inclusion and allyship workshops.",mission_brand
5577d7bf901e26af,2024,An updated Service Animal Policy,"Uber has updated its Service Animal Policy , which highlights drivers’ contractual and legal obligations to riders traveling with service animals, as well as the company’s continuing commitment to addressing rider complaints. To learn more about our US Service Animal Policy and the process for reporting service animal denial complaints, check out this guide . Thousands of people rely on service animals/assistance dogs to help them get around their cities and complete everyday tasks. Find out more by watching the video below with Emily Davison and her guide dog, Unity. “I believe Uber is the most significant advancement in independence for me and other blind people so far this century.” —Mike May, former Executive Director, BVI Workforce Innovation Center, Envision Inc.",mission_brand
d4f5e25c7816f19b,2024,,The page you're looking for is not available at this time,navigation_junk
8a61b8a82bfb59d0,2018,The people who move Uber,"Created and operated by employees, our employee resource groups (ERGs) are working on ways to further build and improve our culture across the world. In 2017, our ERGs expanded from around 2,000 members to almost 7,000 members across the company. And we are exceptionally proud of their work: employees who showed significant leadership in ERGs received a special bonus in recognition of their work to further inclusion at Uber. Learn more about all the work our Employee Resource Groups are doing below.",mission_brand
850228a00f30edf1,2024,Cashless payments,"Uber’s cashless payment option simplifies the payment process, reducing the need for riders to worry about counting out cash or exchanging bills with a driver.",mission_brand
12f4c1533774c031,2019,The future of urban air transport,"Uber Elevate is already exploring the barriers we’ll need to overcome to make daily air transportation a reality. Elevate’s mission stands for making far-reaching changes to our lives—like quicker daily commutes, less traffic congestion, and cleaner air.",job_listing
0ba89a04e19bc612,2018,Created a Diversity Advisory Council,"We created our first-ever Diversity Advisory Council, which now functions as an advisory and recommending body to help us address diversity, equity, inclusion, and belonging initiatives. The Council is comprised of both Uber employees and six of the leading external minds focused on diversity and inclusion, all of whom have offered their perspectives regarding company-wide progression toward a more inclusive culture.",mission_brand
91ede18a9d2270cb,2019,Getting the food you love delivered,"Order from your favorite restaurants, online or in-app. The restaurants will prepare your order, and a nearby Uber delivery partner will deliver it to your door.",job_listing
371dfe1ec58a7173,2018,,Not in San Francisco Bay Area? Please enter your location to help us display the correct information for your area.,navigation_junk
0589c44ffa003aa2,2011,Are you Uber?,"We're looking for extremely talented people to help us bring the transportation industry into the 21st century. Your contributions will not just move bits, but move actual people. Are you up for the challenge?",mission_brand
d7114d2a5be5c663,2016,Our teams,There’s room at Uber for every talent—and talent from everywhere.,mission_brand
70cc7d3c55e1d9ce,2024,Riders with mobility disabilities,"We’re using technology to make transportation more accessible and reliable for riders with mobility disabilities, including through WAV (wheelchair-accessible vehicles).",mission_brand
a9af03f9f16881c8,2019,Participated in the Disability Equality Index,"In 2017 for the first time, we participated in the Disability Equality Index (DEI), a joint venture of the American Association of People with Disabilities and Disability:IN. We’ve worked to make strides in both app and platform accessibility as well as inclusion efforts for Uber employees with disabilities, and DEI has been invaluable in helping push forward those efforts. We look forward to participating again this year.",mission_brand
3e1156a7bcc39c9e,2024,Customers who are deaf or hard of hearing,"Audio isn’t needed for full functionality of the Uber Eats app. Assistive technology such as visible and vibrating alerts can help customers who are deaf or hard of hearing use the Uber Eats app easily. In-app features, such as the ability to enter a delivery destination, can facilitate non-verbal communication between the customer and delivery person.",mission_brand
f61d24e9359cbb72,2016,Passionate People,"Our heart is in our work, and we're committed to empowering people to get where they want to be.",mission_brand
fa0229f5904fa095,2024,Flashing trip request,The Uber Driver app signals a new trip request with a flashing light and an audio notification. This makes it easier for drivers to notice when there’s a new opportunity to give a ride and make some money.,mission_brand
76545470aa44717b,2019,Select your language,"At Uber we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Uber is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.",legal_boilerplate
0cafa4df2ac2c50e,2014,Salle Yoo,"Salle ensures that Uber can rapidly expand its global presence and sustain long-term growth in existing markets. A graduate of Scripps College and Boston University School of Law, Salle was a partner at Davis Wright Tremaine LLP, where she represented leading energy, telecommunications and technology firms. She serves on several boards, including the Asian American Bar Association of the Greater Bay Area and the Museum Council for the Asian Art Museum. When not working, you can find her using Uber to get to the tennis court or home to her family in Noe Valley.",employee_story
bb1225f24d8637d6,2014,General Manager - Bangkok,"Language - The ability to speak, read and write Thai fluently. Hunger and humility - Uber moves fast, and runs lean. Our GM's are entrepreneurs who build new businesses and possess an almost unstoppable, driving ambition to see those businesses grow. They’re never satisfied with the status quo, and have zero qualms about getting their hands dirty (picture handing out discount codes in taxi lines, or hanging out at a gas station to introduce drivers to Uber). Analytical ability - We take an intensely data-driven approach to running our business. An Uber GM has to be able to think strategically about a market, and should really enjoy the process of constantly iterating on data -- generating insights from it, as well as turning around and executing on those insights in order to optimize a given part of the business (user demand, driver supply, revenue, etc). Creative instincts - GM’s truly get the cities they run; they know what makes them tick, who to go to for help, and how to get things done in them. They use that expertise to set a vision for the city, intelligently segment its users, and generate creative ideas to market to those groups in the right ways. Leadership - not necessarily formal people management. GM's lead as a function of their vision, intellect, and gravitas. And because they continually strive for excellence in everything they do, they motivate and stretch the rest of the team to achieve. Travel like a diplomat: employees get tons of free Uber credits! Ground floor opportunity: build a big business from scratch in your city, and shape the strategic direction of the market Make a difference: we’re not just another social web app: we’re moving real people/assets and changing transportation for the future",job_listing
45e2d79481ca2a5d,2018,Where we’ve been,"Last year, we put a stake in the ground to make Uber a great place to work for everyone. We’ve spent the past 12 months investing heavily in the tech sector and building partnerships through a dedicated fund we created to support organizations working to bring more women and underrepresented people into tech. Through that commitment, we’ve had the opportunity to work with amazing organizations like Girls Who Code , BUILD , Technovation , Code.org , and SMASH . Last year was also about looking internally at how we could improve. We believe in and are committed to pay equity for all employees. We engaged in a thorough analysis to help us advance race and gender pay equity company-wide, as well as to ensure competitive compensation — and that effort will continue long-term.",mission_brand
e354b362c6a1dac2,2014,Thuan Pham,"Thuan demonstrates daily that hard work can be really fun and that success is more achievable with a talented team that is highly aligned and cohesive. He’s scaling Engineering to address the challenges that arise with Uber’s rapid growth. Previously a VP of Engineering at VMWare, Westbridge and Doubleclick, Thuan has proven to be an inspirational leader who can deliver exceptional mission critical software and services. He holds a B.S. in Computer Science and Engineering and an M.S. in EE/CS from MIT. Beyond being a talented scholar, published author, amazing friend and father, he’s also an avid ping-pong and tennis player.",employee_story
8a2cafda977de029,2018,Continuing to stand up for what’s right,"We publicly support policies that drive diversity and inclusion in the countries where we operate so that people everywhere have the right to live, work, and be their authentic selves. For example, we’ll continue to stand for causes that defend the rights of immigrants. We’re proud to be a member of the Coalition for the American Dream , a group committed to urging the U.S. Congress to pass legislation to help keep children born in the U.S. to immigrant parents—also known as Dreamers—from being deported. In the months prior to the end of the Deferred Action for Childhood Arrivals (DACA) program, we hosted town halls for drivers in cities with large populations of Dreamers, with immigration lawyers on site to help answer their questions. We also created a fund for legal support and assistance to Dreamers, with a focus on cities where they need the most help. And we will continue to speak out against efforts that undermine our values of inclusion and equality, as we did when citizens from Muslim-majority countries were banned from entering the U.S. We’ll also continue to stand up for LGBTQ+ causes. We’re proud to have joined the Human Rights Campaign’s Business Coalition for the Equality Act and supported federal legislation in the U.S. that would ensure equal protections in the workplace for members of the LGBTQ+ community. ""We celebrate differences at Uber and are committed to building a culture where everyone feels welcome, supported, and challenged. To help Uber reach its highest potential, diversity and inclusion needs to be at the core of everything we do.""",mission_brand
e07a406b6e27fa22,2024,Riders with assistance needs,"At Uber, we strive to increase access to transportation solutions for everyone, everywhere. Assist is designed to provide people who would like a helping hand with additional assistance. With Assist, top-rated drivers may obtain independent training from third-party organizations to help riders into vehicles. Assist is currently available in more than 40 cities around the world.",mission_brand
1ba9b86a098a6927,2017,Our teams,There’s room at Uber for every talent—and talent from everywhere.,mission_brand
fcdb5b1d6beb9246,2018,Gender by Region,[1] Data are as of March 2017 and March 2018.,navigation_junk
c09bd56365bd7be7,2016,Building something big together,Take your ideas to the next level and make something that people use everyday. Something that changes the physical world—and does it fast. We still have a long way to go. Hop in and help us get there.,mission_brand
88ec9b8d6f83f6a3,2019,Leadership,"We’ve hired more Black and women senior leaders across the company, as you can see below. In addition, 23% of our Board of Directors are women. We’re encouraged by the commitment shared by our CEO and the rest of the executive leadership team, even though we’re not yet where we need to be:",mission_brand
fed1f5ce08a7ece6,2013,Thuan Pham,"Thuan demonstrates daily that hard work can be really fun and that success is more achievable with a talented team that is highly aligned and cohesive. He’s scaling Engineering to address the challenges that arise with Uber’s rapid growth. Previously a VP of Engineering at VMWare, Westbridge and Doubleclick, Thuan has proven to be an inspirational leader who can deliver exceptional mission critical software and services. He holds a B.S. in Computer Science and Engineering and an M.S. in EE/CS from MIT. Beyond being a talented scholar, published author, amazing friend and father, he’s also an avid ping-pong and tennis player.",employee_story
bea36b42ab499bbf,2019,Moving forward,"This is just the beginning. No matter who you are at Uber, we're committed to creating an environment where everyone can be themselves and not only belong, but also be valued for their authenticity. By highlighting our progress and being honest about where we still have work to do, we'll strengthen both our business and the more than 600 cities in 65 countries where we operate.",mission_brand
29e9c17ba94e0997,2018,Expanding the definition of diversity,"While we’ve always understood and acknowledged that diversity is about more than just race and gender, particularly as a global company, this year we wanted to measure numbers beyond the traditional categorizations. With employees in all parts of the world, our workforce has a similarly diverse set of stories to tell. In total, 16% of U.S. employees have work visas, and they represent 90 different countries.",mission_brand
0d5bd9bd768ccf69,2018,Race and Ethnicity,[1] Data are as of March 2017 and March 2018. [2] Leadership is defined as director and above; 2018 view includes general managers for Ops departments. [3] Race and ethnicity percentages may not total to 100% due to rounding.,navigation_junk
ed9087d94d47ae08,2014,Travis Kalanick,"Whether it’s founding the world’s first P2P search engine, or developing the premier enterprise content delivery system, Travis believes that every problem has a solution. You just have to be creative enough to find it. He’s guided the company from a niche market in San Francisco to its global presence today. Along the way, Travis has actively invested in and advised other passionate startup entrepreneurs. Somehow, he’s also managed to rack up the second highest Wii Tennis score in the world. Game, set, match.",employee_story
fd2b55414c344a9c,2021,Jumpstart your application,"Sign in with your existing recruiting profile or apply with a resume. PLEASE NOTE: For details about how LinkedIn shares information, refer to LinkedIn's Privacy Policy. Any information we collect in connection with your application will be treated in accordance with our Candidate Privacy Statement.",process_logistics
e3f44f7449dd3f16,2014,General Manager - Bangkok,"ABOUT UBER Uber is a technology company. We make a smartphone app that provides users with an on-demand, private car service that takes them safely and smoothly to where they need to go....smoothly to where they need to go, around the world - at the push of a button. Our revenues have grown more than 10-fold in just the past year, and they’ve accelerated with the launch of Uber in seven new cities over the past two months. On another level, Uber is about applying mobile technology, data-driven decision making, and world-class operations teams to solve a massive, offline problem: urban transport. These are early days. Come join us, and help us build a new fabric for urban logistics that is redefining the way people experience and get around a city. ABOUT THE JOB The GM role at Uber is one of the most demanding positions we have to offer. As Uber’s leader in a given city, the GM is responsible for the development and growth of our business in that city. You are literally rolling out a new transportation system in your metropolis, and you will set the tone for Uber’s presence and team there. In practice, this is a role where creativity meets analytics head-on. It’s first and foremost a job for a strong marketer, focused on reaching new users and extending the Uber brand to the masses. But as the city lead, you’ll also be responsible for operational excellence and maintaining ‘Uber quality’ throughout the rider’s experience. Customer support, local marketing, supply chain management, yield management, social media, and PR are all a part of the GM role. And while continual improvement and a focus on quality are constants, we believe in solving local problems with local solutions, so understanding your market is crucial. WHAT YOU NEED:",job_listing
c4d7099d443a6c2a,2024,Driver resources,Check out our resources for drivers if you’re interested in learning more about transporting riders with disabilities.,navigation_junk
671cd07b624ade0d,2016,Shape the world you want,"Help improve local economies, make roads safer, and bring opportunities to millions of women and men around the world.",mission_brand
631f756e177428d8,2019,The road to self-driving vehicles,"This innovative team is dedicated to building safe, reliable, and cost-effective self-driving technologies. With teams in Detroit, Pittsburgh, San Francisco, Tempe, and Toronto, the group is bringing self-driving cars and freight trucks to the Uber network.",job_listing
b2e5fcbfb16b679f,2019,Where we’ve been,"Last year, we put a stake in the ground to make Uber a great place to work for everyone. We’ve spent the past 12 months investing heavily in the tech sector and building partnerships through a dedicated fund we created to support organizations working to bring more women and underrepresented people into tech. Through that commitment, we’ve had the opportunity to work with amazing organizations like BUILD , Code.org , Girls Who Code , SMASH , and Technovation . Last year was also about looking internally at how we could improve. We believe in and are committed to pay equity for all employees. We engaged in a thorough analysis to help us advance race and gender pay equity companywide, as well as to ensure competitive compensation—and that effort will continue long-term.",mission_brand
3206c1d4d114b915,2019,Where we're going,"We’re still relatively young as a company and are committed to and passionate about making Uber a truly diverse and inclusive place. We’re excited to have Chief Diversity and Inclusion Officer Bo Young Lee, who will, among other things, help build out a robust supplier diversity program and create more engaging development programs for women and underrepresented minorities. We have the audacious goal of being the most inclusive workplace in the world. We know that ambition requires unwavering intention and commitment from everyone at Uber. With that in mind, diversity and inclusion will be at the core of our broader strategy as a company. You can also download our 2 most recent EEO-1 reports below. We wanted to share these with you in the interest of transparency, even though we think the information on this site is a better representation of how we’re doing.",mission_brand
