id,company,year,category,verbatim,hand_locus,hand_specificity,notes
0,coinbase,2013,other,Meaningful equity at an early stage company,exclude,,
1,coinbase,2013,other,The option of getting paid in Bitcoin,exclude,,
2,coinbase,2013,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
3,coinbase,2013,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
4,coinbase,2014,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
5,coinbase,2014,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
6,coinbase,2014,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
7,coinbase,2014,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
8,coinbase,2015,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
9,coinbase,2015,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
10,coinbase,2015,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
11,coinbase,2015,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
12,coinbase,2016,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
13,coinbase,2016,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
14,coinbase,2017,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
15,coinbase,2017,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
16,coinbase,2017,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
17,coinbase,2017,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
18,coinbase,2018,caregiver_support,"Fertility: Receive financial support for your fertility needs and access fertility education, evaluations, and more.",structural,named_no_number,
19,coinbase,2018,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
20,coinbase,2018,pto_unlimited,Flexible vacation - take time off when you need it,individual,named_no_number,
21,coinbase,2018,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
22,coinbase,2018,remote_flexibility,Work whenever you work best (flexible hours),individual,named_no_number,
23,coinbase,2026,remote_flexibility,Most roles are remote-first,structural,named_no_number,
24,gitlab,2014,remote_flexibility,We're a distributed company and you'll mainly work remote.,structural,named_no_number,
25,gitlab,2014,remote_flexibility,We're a distributed company and you'll mainly work remote.,structural,named_no_number,
26,gitlab,2015,remote_flexibility,You can work from anywhere and are welcome in our San Francisco office.,structural,named_no_number,
27,gitlab,2015,remote_flexibility,We're a distributed company and you'll mainly work remote.,structural,named_no_number,
28,gitlab,2015,remote_flexibility,At GitLab B.V. we mostly work from home,structural,named_no_number,
29,gitlab,2015,remote_flexibility,You can work from anywhere and are welcome in our San Francisco office.,structural,named_no_number,
30,gitlab,2018,remote_flexibility,"Fully distributed: We're a fully remote and completely distributed team, so we can work wherever we're happiest.",structural,named_no_number,
31,gitlab,2018,remote_flexibility,"Work asynchronously: Night owls rejoice! We're dedicated to working asynchronously, so we can contribute from anywhere at anytime.",structural,named_no_number,
32,gitlab,2018,wellness_perk,"Buy what you need to be at your best: You don't need to ask permission before spending company money like it's your own - whether it's for a standing desk, a co-working space, or continuing education.",individual,named_no_number,
33,gitlab,2022,other,Learn in-demand skills with access to platforms like LinkedIn Learning and GitLab Learn,individual,named_no_number,
34,gitlab,2022,remote_flexibility,Flexibility in schedule to be there for life's important moments,individual,named_no_number,
35,gitlab,2023,remote_flexibility,Flexibility in schedule to be there for life's important moments,individual,named_no_number,
36,gitlab,2024,remote_flexibility,Flexibility in schedule to be there for life's important moments,individual,named_no_number,
37,gitlab,2025,remote_flexibility,Flexibility in schedule to be there for life's important moments,individual,named_no_number,
38,gitlab,2026,remote_flexibility,Flexibility in schedule to be there for life's important moments,individual,named_no_number,
39,google,2005,caregiver_support,"Adoption Policy • Google will now assist our employees by offering financial assistance in the adoption of a child. We'll reimburse you up to $5,000",structural,enumerated_number,
40,google,2005,mental_health_eap,Concern Employee Assistance Program: • Confidential counseling & referral service for employees and eligible dependents.,individual,named_no_number,
41,google,2005,parental_leave,Maternity leave: • 12 weeks off at 75% pay,structural,enumerated_number,
42,google,2005,parental_leave,Parental Leave (for non-primary caregivers): • 2 weeks off at 100% pay,structural,enumerated_number,
43,google,2005,pto_accrued,Year: 1st 15 days 4th 20 days 6th 25 days,individual,enumerated_number,
44,google,2005,wellness_perk,Massage & gym:*** • Working hard? Experienced massage therapists on site will melt your stress. • Workout in the gym and enjoy a relaxing sauna all within the Googleplex.,individual,named_no_number,
45,google,2005,wellness_perk,Employees receive free 1 hour passes to enjoy rock climbing or gymnastics at Twisters Gym located in Mountain View,individual,named_no_number,
46,google,2016,parental_leave,generous parental leave policies,ambiguous,named_no_number,
47,hubspot,2014,pto_unlimited,unlimited vacation,individual,named_no_number,
48,hubspot,2015,pto_unlimited,unlimited vacation,individual,named_no_number,
49,hubspot,2016,pto_minimum_enforced,Managers at HubSpot encourage all employees to take a minimum of two weeks vacation per year,structural,enumerated_number,
50,hubspot,2016,pto_unlimited,unlimited vacation to all of our employees,individual,named_no_number,
51,hubspot,2016,remote_flexibility,work flexible hours that suit them and their families,individual,named_no_number,
52,hubspot,2016,remote_flexibility,work remotely when necessary,ambiguous,named_no_number,REVIEW: bare remote mention
53,hubspot,2017,pto_minimum_enforced,Managers at HubSpot encourage all employees to take a minimum of two weeks vacation per year,structural,enumerated_number,
54,hubspot,2017,pto_unlimited,unlimited vacation to all of our employees,individual,named_no_number,
55,hubspot,2017,remote_flexibility,work flexible hours that suit them and their families,individual,named_no_number,
56,hubspot,2017,remote_flexibility,work remotely when necessary,individual,named_no_number,
57,hubspot,2019,caregiver_support,"backup childcare HubSpot provides to its employees, courtesey of care.com",structural,named_no_number,
58,hubspot,2019,remote_flexibility,The ability to work from home,individual,named_no_number,
